Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"37,173",700,"1,686",98.07%,98.07%,99.76%,99.76%,98.31%,98.31%,0.07%,0.07%,0.07%,0.07%
2,1-<2 mo,"34,787",595,"1,425",98.25%,96.36%,99.76%,99.52%,98.49%,96.83%,0.07%,0.10%,0.07%,0.10%
3,2-<3 mo,"32,767",490,"1,612",98.47%,94.88%,99.77%,99.29%,98.70%,95.57%,0.07%,0.12%,0.07%,0.12%
4,3-<4 mo,"30,665",380,"1,463",98.73%,93.68%,99.77%,99.06%,98.96%,94.57%,0.06%,0.13%,0.06%,0.13%
5,4-<5 mo,"28,822",331,"1,533",98.82%,92.57%,99.77%,98.83%,99.05%,93.67%,0.06%,0.14%,0.06%,0.15%
6,5-<6 mo,"26,958",281,"1,425",98.93%,91.58%,99.77%,98.60%,99.16%,92.88%,0.06%,0.15%,0.06%,0.16%
7,6-<7 mo,"25,252",246,"1,520",99.00%,90.66%,99.77%,98.38%,99.22%,92.16%,0.06%,0.16%,0.06%,0.17%
8,7-<8 mo,"23,486",214,"1,451",99.06%,89.81%,99.78%,98.16%,99.28%,91.49%,0.06%,0.17%,0.06%,0.17%
9,8-<9 mo,"21,821",213,"1,485",98.99%,88.90%,99.78%,97.94%,99.21%,90.77%,0.07%,0.18%,0.07%,0.18%
10,9-<10 mo,"20,123",172,"1,462",99.11%,88.11%,99.78%,97.73%,99.33%,90.16%,0.07%,0.19%,0.07%,0.19%
11,10-<11 mo,"18,489",151,"1,351",99.15%,87.37%,99.78%,97.51%,99.37%,89.60%,0.07%,0.20%,0.07%,0.20%
12,11-<12 mo,"16,987",139,"1,352",99.15%,86.62%,99.78%,97.30%,99.37%,89.03%,0.07%,0.21%,0.07%,0.21%
13,12-<13 mo,"15,496",120,"1,191",99.19%,85.93%,99.76%,97.06%,99.43%,88.52%,0.07%,0.21%,0.07%,0.22%
14,13-<14 mo,"14,185",103,"1,337",99.24%,85.27%,99.76%,96.83%,99.48%,88.06%,0.07%,0.22%,0.08%,0.23%
15,14-<15 mo,"12,745",73,"1,373",99.39%,84.75%,99.76%,96.60%,99.63%,87.74%,0.07%,0.23%,0.07%,0.24%
16,15-<16 mo,"11,299",59,"1,162",99.45%,84.29%,99.76%,96.37%,99.68%,87.46%,0.07%,0.23%,0.07%,0.24%
17,16-<17 mo,"10,078",63,"1,391",99.33%,83.72%,99.77%,96.15%,99.56%,87.08%,0.08%,0.24%,0.08%,0.25%
18,17-<18 mo,"8,624",46,"1,305",99.42%,83.24%,99.76%,95.92%,99.66%,86.78%,0.08%,0.25%,0.09%,0.26%
19,18-<19 mo,"7,273",40,"1,296",99.40%,82.74%,99.77%,95.70%,99.63%,86.46%,0.10%,0.26%,0.10%,0.27%
20,19-<20 mo,"5,937",35,"1,238",99.34%,82.19%,99.77%,95.47%,99.58%,86.09%,0.11%,0.28%,0.11%,0.29%
21,20-<21 mo,"4,664",22,"1,273",99.45%,81.74%,99.76%,95.25%,99.69%,85.82%,0.12%,0.29%,0.12%,0.31%
22,21-<22 mo,"3,369",11,"1,126",99.61%,81.42%,99.76%,95.02%,99.85%,85.69%,0.12%,0.31%,0.12%,0.32%
23,22-<23 mo,"2,232",8,"1,214",99.51%,81.02%,99.76%,94.79%,99.75%,85.47%,0.17%,0.34%,0.17%,0.35%
24,23-<24 mo,"1,010",3,"1,007",+,+,99.76%,94.56%,+,+,+,+,+,+
