Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,635,186,23,70.17%,70.17%,99.63%,99.63%,70.43%,70.43%,1.83%,1.83%,1.84%,1.84%
2,1-<2 mo,426,68,19,83.67%,58.71%,99.68%,99.31%,83.95%,59.12%,1.81%,1.99%,1.82%,2.01%
3,2-<3 mo,339,30,11,91.00%,53.43%,99.71%,99.02%,91.27%,53.96%,1.57%,2.03%,1.57%,2.05%
4,3-<4 mo,298,20,20,93.06%,49.72%,99.75%,98.77%,93.29%,50.34%,1.50%,2.05%,1.50%,2.08%
5,4-<5 mo,258,13,13,94.83%,47.15%,99.79%,98.56%,95.03%,47.84%,1.40%,2.07%,1.40%,2.10%
6,5-<6 mo,232,9,14,96.00%,45.26%,99.80%,98.37%,96.19%,46.02%,1.31%,2.08%,1.31%,2.11%
7,6-<7 mo,209,15,15,92.56%,41.89%,99.81%,98.18%,92.73%,42.67%,1.85%,2.10%,1.85%,2.14%
8,7-<8 mo,179,6,10,96.55%,40.45%,99.83%,98.01%,96.72%,41.27%,1.38%,2.11%,1.39%,2.15%
9,8-<9 mo,163,5,10,96.84%,39.17%,99.83%,97.84%,97.00%,40.03%,1.39%,2.12%,1.40%,2.16%
10,9-<10 mo,148,0,16,100.00%,39.17%,99.84%,97.68%,100.0000%*,40.0343%#,0.00%,2.12%,0.00%,2.1630%#
11,10-<11 mo,132,4,16,96.77%,37.91%,99.82%,97.51%,96.94%,38.87%,1.59%,2.14%,1.59%,2.19%
12,11-<12 mo,112,5,9,95.35%,36.14%,99.83%,97.35%,95.51%,37.13%,2.03%,2.18%,2.03%,2.24%
13,12-<13 mo,98,4,5,95.81%,34.63%,99.82%,97.17%,95.99%,35.64%,2.05%,2.22%,2.05%,2.28%
14,13-<14 mo,89,4,9,95.27%,32.99%,99.82%,97.00%,95.43%,34.01%,2.31%,2.26%,2.31%,2.33%
15,14-<15 mo,76,3,7,95.86%,31.63%,99.82%,96.82%,96.04%,32.66%,2.34%,2.30%,2.34%,2.37%
16,15-<16 mo,66,0,10,100.00%,31.63%,99.82%,96.65%,100.0000%*,32.6642%#,0.00%,2.30%,0.00%,2.3741%#
17,16-<17 mo,56,0,7,100.00%,31.63%,99.83%,96.48%,100.0000%*,32.6642%#,0.00%,2.30%,0.00%,2.3741%#
18,17-<18 mo,49,2,9,95.51%,30.20%,99.85%,96.33%,95.65%,31.35%,3.11%,2.41%,3.11%,2.50%
19,18-<19 mo,38,0,7,100.00%,30.20%,99.86%,96.20%,100.0000%*,31.3531%#,0.00%,2.41%,0.00%,2.4965%#
20,19-<20 mo,31,0,8,100.00%,30.20%,99.88%,96.09%,100.0000%*,31.3531%#,0.00%,2.41%,0.00%,2.4965%#
21,20-<21 mo,23,0,8,100.00%,30.20%,99.93%,96.02%,100.0000%*,31.3531%#,0.00%,2.41%,0.00%,2.4965%#
22,21-<22 mo,15,1,3,92.59%,27.97%,99.92%,95.95%,92.66%,29.15%,7.13%,3.10%,7.13%,3.23%
23,22-<23 mo,11,2,7,73.33%,20.51%,99.92%,95.87%,73.39%,21.39%,16.15%,5.05%,16.16%,5.27%
24,23-<24 mo,2,0,2,+,+,99.98%,95.85%,+,+,+,+,+,+
