Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,505,5,61,98.95%,98.95%,99.92%,99.92%,99.03%,99.03%,0.47%,0.47%,0.47%,0.47%
2,1-<2 mo,439,4,11,99.08%,98.03%,99.92%,99.83%,99.16%,98.20%,0.46%,0.65%,0.46%,0.65%
3,2-<3 mo,424,3,27,99.27%,97.32%,99.92%,99.75%,99.35%,97.56%,0.42%,0.77%,0.42%,0.77%
4,3-<4 mo,394,1,23,99.74%,97.06%,99.92%,99.67%,99.82%,97.38%,0.26%,0.80%,0.26%,0.81%
5,4-<5 mo,370,3,19,99.17%,96.25%,99.92%,99.59%,99.25%,96.65%,0.48%,0.92%,0.48%,0.93%
6,5-<6 mo,348,2,24,99.40%,95.68%,99.92%,99.51%,99.48%,96.16%,0.42%,1.00%,0.42%,1.01%
7,6-<7 mo,322,0,15,100.00%,95.68%,99.92%,99.42%,100.0000%*,96.1567%#,0.00%,1.00%,0.00%,1.0076%#
8,7-<8 mo,307,0,18,100.00%,95.68%,99.92%,99.34%,100.0000%*,96.1567%#,0.00%,1.00%,0.00%,1.0076%#
9,8-<9 mo,289,1,13,99.65%,95.34%,99.92%,99.26%,99.73%,96.06%,0.35%,1.05%,0.35%,1.06%
10,9-<10 mo,275,1,14,99.63%,94.99%,99.91%,99.17%,99.71%,95.78%,0.37%,1.11%,0.37%,1.12%
11,10-<11 mo,260,0,19,100.00%,94.99%,99.91%,99.08%,100.0000%*,95.7827%#,0.00%,1.11%,0.00%,1.1185%#
12,11-<12 mo,241,2,19,99.14%,94.17%,99.91%,98.99%,99.22%,95.12%,0.61%,1.24%,0.61%,1.25%
13,12-<13 mo,220,1,19,99.52%,93.72%,99.92%,98.91%,99.61%,94.75%,0.47%,1.31%,0.47%,1.33%
14,13-<14 mo,200,1,22,99.47%,93.22%,99.92%,98.83%,99.55%,94.33%,0.53%,1.40%,0.53%,1.41%
15,14-<15 mo,177,2,14,98.82%,92.13%,99.91%,98.75%,98.91%,93.30%,0.83%,1.58%,0.83%,1.60%
16,15-<16 mo,161,0,14,100.00%,92.13%,99.92%,98.66%,100.0000%*,93.2970%#,0.00%,1.58%,0.00%,1.6020%#
17,16-<17 mo,147,0,10,100.00%,92.13%,99.91%,98.58%,100.0000%*,93.2970%#,0.00%,1.58%,0.00%,1.6020%#
18,17-<18 mo,137,1,20,99.21%,91.40%,99.91%,98.49%,99.30%,92.80%,0.78%,1.73%,0.79%,1.75%
19,18-<19 mo,116,0,24,100.00%,91.40%,99.92%,98.41%,100.0000%*,92.8005%#,0.00%,1.73%,0.00%,1.7543%#
20,19-<20 mo,92,0,11,100.00%,91.40%,99.93%,98.34%,100.0000%*,92.8005%#,0.00%,1.73%,0.00%,1.7543%#
21,20-<21 mo,81,1,16,98.63%,90.15%,99.94%,98.28%,98.69%,91.73%,1.36%,2.11%,1.36%,2.15%
22,21-<22 mo,64,0,13,100.00%,90.15%,99.93%,98.21%,100.0000%*,91.7286%#,0.00%,2.11%,0.00%,2.1465%#
23,22-<23 mo,51,0,22,100.00%,90.15%,99.94%,98.15%,100.0000%*,91.7286%#,0.00%,2.11%,0.00%,2.1465%#
24,23-<24 mo,29,0,29,+,+,99.96%,98.11%,+,+,+,+,+,+
