Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,657,29,27,94.75%,94.75%,99.76%,99.76%,94.97%,94.97%,0.94%,0.94%,0.94%,0.94%
2,1-<2 mo,601,14,27,97.03%,92.05%,99.77%,99.53%,97.25%,92.45%,0.77%,1.14%,0.77%,1.14%
3,2-<3 mo,560,12,16,97.32%,89.71%,99.77%,99.30%,97.54%,90.30%,0.76%,1.28%,0.77%,1.29%
4,3-<4 mo,532,6,21,98.55%,88.45%,99.77%,99.08%,98.77%,89.21%,0.59%,1.35%,0.59%,1.37%
5,4-<5 mo,505,8,28,98.14%,86.89%,99.77%,98.86%,98.36%,87.82%,0.67%,1.43%,0.67%,1.45%
6,5-<6 mo,469,8,28,97.72%,85.07%,99.78%,98.64%,97.93%,86.13%,0.79%,1.52%,0.79%,1.55%
7,6-<7 mo,433,4,32,98.70%,84.10%,99.77%,98.41%,98.88%,85.28%,0.64%,1.56%,0.64%,1.60%
8,7-<8 mo,397,4,23,98.57%,83.08%,99.77%,98.19%,98.75%,84.36%,0.70%,1.60%,0.71%,1.65%
9,8-<9 mo,370,3,26,98.90%,82.26%,99.78%,97.98%,99.11%,83.72%,0.63%,1.65%,0.63%,1.70%
10,9-<10 mo,341,3,18,98.92%,81.39%,99.78%,97.77%,99.13%,82.99%,0.62%,1.70%,0.62%,1.76%
11,10-<11 mo,320,1,27,99.79%,81.18%,99.78%,97.56%,99.80%,82.84%,0.21%,1.71%,0.21%,1.77%
12,11-<12 mo,292,0,20,100.00%,81.18%,99.79%,97.35%,100.00%,82.84%,0.00%,1.71%,0.00%,1.77%
13,12-<13 mo,272,1,15,99.51%,80.85%,99.76%,97.12%,99.70%,82.84%,0.49%,1.73%,0.49%,1.77%
14,13-<14 mo,256,0,22,100.00%,80.85%,99.76%,96.89%,100.00%,82.84%,0.00%,1.73%,0.00%,1.77%
15,14-<15 mo,234,2,18,99.10%,80.15%,99.76%,96.66%,99.30%,82.47%,0.65%,1.78%,0.66%,1.87%
16,15-<16 mo,214,2,13,99.02%,79.39%,99.76%,96.44%,99.22%,81.83%,0.71%,1.84%,0.71%,1.94%
17,16-<17 mo,199,3,27,98.12%,78.06%,99.76%,96.21%,98.34%,80.76%,1.08%,1.95%,1.09%,2.06%
18,17-<18 mo,169,0,27,100.00%,78.06%,99.75%,95.98%,100.00%,80.76%,0.00%,1.95%,0.00%,2.06%
19,18-<19 mo,142,0,22,100.00%,78.06%,99.73%,95.73%,100.00%,80.76%,0.00%,1.95%,0.00%,2.06%
20,19-<20 mo,120,0,23,100.00%,78.06%,99.75%,95.49%,100.00%,80.76%,0.00%,1.95%,0.00%,2.06%
21,20-<21 mo,97,0,18,100.00%,78.06%,99.74%,95.26%,100.00%,80.76%,0.00%,1.95%,0.00%,2.06%
22,21-<22 mo,79,0,27,100.00%,78.06%,99.75%,95.02%,100.00%,80.76%,0.00%,1.95%,0.00%,2.06%
23,22-<23 mo,52,2,30,93.71%,73.64%,99.77%,94.81%,93.91%,77.05%,4.46%,3.52%,4.47%,3.81%
24,23-<24 mo,20,1,19,+,+,99.79%,94.61%,+,+,+,+,+,+
