Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,537",44,226,98.72%,98.72%,99.89%,99.89%,98.82%,98.82%,0.19%,0.19%,0.19%,0.19%
2,1-<2 mo,"3,267",32,184,98.99%,97.72%,99.89%,99.79%,99.10%,97.93%,0.18%,0.26%,0.18%,0.26%
3,2-<3 mo,"3,051",32,190,98.92%,96.66%,99.90%,99.68%,99.02%,96.97%,0.19%,0.32%,0.19%,0.32%
4,3-<4 mo,"2,829",23,163,99.16%,95.85%,99.90%,99.58%,99.27%,96.26%,0.17%,0.36%,0.17%,0.36%
5,4-<5 mo,"2,643",26,164,98.98%,94.88%,99.90%,99.47%,99.09%,95.38%,0.20%,0.40%,0.20%,0.40%
6,5-<6 mo,"2,453",16,126,99.33%,94.24%,99.90%,99.37%,99.43%,94.84%,0.17%,0.43%,0.17%,0.43%
7,6-<7 mo,"2,311",11,131,99.51%,93.78%,99.90%,99.27%,99.61%,94.47%,0.15%,0.45%,0.15%,0.45%
8,7-<8 mo,"2,169",7,132,99.67%,93.47%,99.90%,99.17%,99.77%,94.25%,0.13%,0.46%,0.13%,0.47%
9,8-<9 mo,"2,030",13,143,99.34%,92.85%,99.90%,99.08%,99.43%,93.72%,0.18%,0.49%,0.18%,0.49%
10,9-<10 mo,"1,874",14,135,99.23%,92.13%,99.90%,98.98%,99.32%,93.08%,0.21%,0.52%,0.21%,0.53%
11,10-<11 mo,"1,725",13,132,99.22%,91.41%,99.90%,98.89%,99.31%,92.44%,0.22%,0.56%,0.22%,0.56%
12,11-<12 mo,"1,580",14,150,99.07%,90.56%,99.90%,98.79%,99.17%,91.67%,0.25%,0.59%,0.25%,0.60%
13,12-<13 mo,"1,416",9,109,99.34%,89.96%,99.90%,98.69%,99.44%,91.15%,0.22%,0.62%,0.22%,0.63%
14,13-<14 mo,"1,298",10,115,99.19%,89.23%,99.90%,98.59%,99.30%,90.51%,0.25%,0.66%,0.25%,0.67%
15,14-<15 mo,"1,173",7,136,99.37%,88.67%,99.90%,98.49%,99.47%,90.03%,0.24%,0.69%,0.24%,0.70%
16,15-<16 mo,"1,030",5,110,99.49%,88.21%,99.89%,98.38%,99.59%,89.66%,0.23%,0.71%,0.23%,0.73%
17,16-<17 mo,915,7,131,99.18%,87.49%,99.89%,98.28%,99.28%,89.02%,0.31%,0.76%,0.31%,0.77%
18,17-<18 mo,777,4,103,99.45%,87.01%,99.90%,98.18%,99.55%,88.62%,0.27%,0.79%,0.28%,0.81%
19,18-<19 mo,670,5,115,99.18%,86.30%,99.90%,98.08%,99.28%,87.98%,0.36%,0.85%,0.36%,0.86%
20,19-<20 mo,550,1,100,99.80%,86.12%,99.90%,97.98%,99.90%,87.90%,0.20%,0.86%,0.20%,0.88%
21,20-<21 mo,449,2,133,99.48%,85.67%,99.90%,97.88%,99.58%,87.53%,0.37%,0.92%,0.37%,0.94%
22,21-<22 mo,314,0,110,100.00%,85.67%,99.90%,97.78%,100.0000%*,87.5264%#,0.00%,0.92%,0.00%,0.9355%#
23,22-<23 mo,204,0,121,100.00%,85.67%,99.90%,97.68%,100.0000%*,87.5264%#,0.00%,0.92%,0.00%,0.9355%#
24,23-<24 mo,83,0,83,+,+,99.93%,97.62%,+,+,+,+,+,+
