Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,81,6,3,91.50%,91.50%,99.81%,99.81%,91.64%,91.64%,3.22%,3.22%,3.23%,3.23%
2,1-<2 mo,72,3,3,96.29%,88.19%,99.81%,99.61%,96.45%,88.45%,2.25%,3.64%,2.26%,3.67%
3,2-<3 mo,66,2,0,95.83%,84.90%,99.80%,99.42%,95.99%,85.27%,2.80%,4.01%,2.81%,4.05%
4,3-<4 mo,64,3,5,94.25%,80.60%,99.79%,99.21%,94.41%,81.05%,3.32%,4.36%,3.33%,4.42%
5,4-<5 mo,56,2,3,94.53%,77.12%,99.79%,99.01%,94.69%,77.62%,3.62%,4.52%,3.63%,4.60%
6,5-<6 mo,51,0,5,100.00%,77.12%,99.80%,98.81%,100.00%,77.62%,0.00%,4.52%,0.00%,4.60%
7,6-<7 mo,46,1,5,96.19%,75.00%,99.79%,98.61%,96.36%,75.64%,3.64%,4.65%,3.65%,4.76%
8,7-<8 mo,40,0,4,100.00%,75.00%,99.81%,98.42%,100.00%,75.64%,0.00%,4.65%,0.00%,4.76%
9,8-<9 mo,36,0,1,100.00%,75.00%,99.80%,98.23%,100.00%,75.64%,0.00%,4.65%,0.00%,4.76%
10,9-<10 mo,35,0,4,100.00%,75.00%,99.80%,98.04%,100.00%,75.64%,0.00%,4.65%,0.00%,4.76%
11,10-<11 mo,31,0,0,100.00%,75.00%,99.80%,97.85%,100.00%,75.64%,0.00%,4.65%,0.00%,4.76%
12,11-<12 mo,31,1,1,94.53%,72.22%,99.80%,97.66%,94.68%,73.17%,5.12%,4.89%,5.14%,5.10%
13,12-<13 mo,29,0,3,100.00%,72.22%,99.77%,97.44%,100.00%,73.17%,0.00%,4.89%,0.00%,5.10%
14,13-<14 mo,26,0,2,100.00%,72.22%,99.76%,97.21%,100.00%,73.17%,0.00%,4.89%,0.00%,5.10%
15,14-<15 mo,24,1,2,90.27%,67.90%,99.75%,96.97%,90.44%,68.86%,8.58%,5.48%,8.62%,5.79%
16,15-<16 mo,21,0,3,100.00%,67.90%,99.84%,96.82%,100.00%,68.86%,0.00%,5.48%,0.00%,5.79%
17,16-<17 mo,18,0,3,100.00%,67.90%,99.84%,96.68%,100.00%,68.86%,0.00%,5.48%,0.00%,5.79%
18,17-<18 mo,15,0,6,100.00%,67.90%,99.84%,96.53%,100.00%,68.86%,0.00%,5.48%,0.00%,5.79%
19,18-<19 mo,9,0,1,100.00%,67.90%,99.86%,96.40%,100.00%,68.86%,0.00%,5.48%,0.00%,5.79%
20,19-<20 mo,8,0,0,100.00%,67.90%,99.86%,96.27%,100.00%,68.86%,0.00%,5.48%,0.00%,5.79%
21,20-<21 mo,8,0,5,+,+,99.86%,96.14%,+,+,+,+,+,+
