Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,503,38,39,91.32%,91.32%,99.75%,99.75%,91.54%,91.54%,1.33%,1.33%,1.33%,1.33%
2,1-<2 mo,426,6,20,98.22%,89.78%,99.76%,99.51%,98.44%,90.18%,0.72%,1.43%,0.72%,1.44%
3,2-<3 mo,400,7,15,97.87%,87.96%,99.76%,99.28%,98.10%,88.56%,0.81%,1.55%,0.81%,1.56%
4,3-<4 mo,378,9,20,97.13%,85.57%,99.77%,99.05%,97.35%,86.33%,0.96%,1.68%,0.96%,1.70%
5,4-<5 mo,349,3,20,99.17%,84.86%,99.77%,98.82%,99.37%,85.77%,0.50%,1.72%,0.50%,1.75%
6,5-<6 mo,326,6,15,97.75%,83.09%,99.76%,98.59%,97.98%,84.18%,0.92%,1.81%,0.93%,1.85%
7,6-<7 mo,305,3,21,99.01%,82.19%,99.77%,98.36%,99.04%,83.31%,0.56%,1.87%,0.56%,1.91%
8,7-<8 mo,281,4,19,98.17%,80.83%,99.76%,98.13%,98.37%,82.21%,0.93%,1.95%,0.93%,2.00%
9,8-<9 mo,258,3,17,98.23%,79.60%,99.76%,97.90%,98.41%,81.06%,1.00%,2.02%,1.01%,2.08%
10,9-<10 mo,238,1,19,99.59%,79.24%,99.77%,97.67%,99.62%,80.79%,0.41%,2.04%,0.41%,2.11%
11,10-<11 mo,218,4,12,97.57%,77.54%,99.77%,97.45%,97.76%,79.32%,1.23%,2.14%,1.23%,2.23%
12,11-<12 mo,202,0,16,100.00%,77.54%,99.76%,97.22%,100.00%,79.32%,0.00%,2.14%,0.00%,2.23%
13,12-<13 mo,186,0,14,100.00%,77.54%,99.73%,96.96%,100.00%,79.32%,0.00%,2.14%,0.00%,2.23%
14,13-<14 mo,172,1,9,99.60%,77.17%,99.73%,96.71%,99.61%,78.98%,0.40%,2.17%,0.40%,2.25%
15,14-<15 mo,162,1,14,99.04%,76.56%,99.73%,96.45%,99.26%,78.91%,0.95%,2.22%,0.96%,2.34%
16,15-<16 mo,147,0,15,100.00%,76.56%,99.73%,96.20%,100.00%,78.91%,0.00%,2.22%,0.00%,2.34%
17,16-<17 mo,132,1,18,98.86%,75.86%,99.74%,95.95%,99.07%,78.44%,1.12%,2.29%,1.13%,2.43%
18,17-<18 mo,113,0,19,100.00%,75.86%,99.72%,95.69%,100.00%,78.44%,0.00%,2.29%,0.00%,2.43%
19,18-<19 mo,94,1,14,98.80%,74.83%,99.73%,95.44%,98.83%,77.64%,1.17%,2.48%,1.17%,2.63%
20,19-<20 mo,79,0,16,100.00%,74.83%,99.73%,95.20%,100.00%,77.64%,0.00%,2.48%,0.00%,2.63%
21,20-<21 mo,63,1,17,97.92%,73.58%,99.72%,94.94%,98.14%,76.85%,2.03%,2.71%,2.04%,2.91%
22,21-<22 mo,45,0,15,100.00%,73.58%,99.69%,94.65%,100.00%,76.85%,0.00%,2.71%,0.00%,2.91%
23,22-<23 mo,30,0,16,100.00%,73.58%,99.69%,94.36%,100.00%,76.85%,0.00%,2.71%,0.00%,2.91%
24,23-<24 mo,14,0,14,+,+,99.74%,94.12%,+,+,+,+,+,+
