Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"23,898","2,354","1,288",89.78%,89.78%,99.74%,99.74%,90.00%,90.00%,0.20%,0.20%,0.20%,0.20%
2,1-<2 mo,"20,256","1,497",911,92.19%,82.92%,99.75%,99.49%,92.41%,83.32%,0.19%,0.25%,0.19%,0.25%
3,2-<3 mo,"17,848","1,101",871,93.39%,77.64%,99.76%,99.26%,93.61%,78.17%,0.19%,0.27%,0.19%,0.28%
4,3-<4 mo,"15,876",727,798,94.98%,73.96%,99.77%,99.02%,95.20%,74.61%,0.18%,0.29%,0.18%,0.29%
5,4-<5 mo,"14,351",496,789,96.21%,71.32%,99.77%,98.80%,96.43%,72.08%,0.17%,0.30%,0.17%,0.31%
6,5-<6 mo,"13,066",382,768,96.79%,69.16%,99.77%,98.58%,97.01%,70.04%,0.16%,0.31%,0.16%,0.32%
7,6-<7 mo,"11,916",300,658,97.23%,67.37%,99.77%,98.36%,97.44%,68.35%,0.16%,0.32%,0.16%,0.32%
8,7-<8 mo,"10,958",270,661,97.30%,65.66%,99.78%,98.14%,97.52%,66.73%,0.16%,0.32%,0.16%,0.33%
9,8-<9 mo,"10,027",220,715,97.56%,64.16%,99.78%,97.92%,97.78%,65.33%,0.16%,0.33%,0.17%,0.34%
10,9-<10 mo,"9,092",189,647,97.68%,62.78%,99.78%,97.71%,97.90%,64.04%,0.17%,0.34%,0.17%,0.35%
11,10-<11 mo,"8,256",136,642,98.14%,61.70%,99.78%,97.49%,98.36%,63.05%,0.16%,0.34%,0.16%,0.35%
12,11-<12 mo,"7,478",141,603,97.93%,60.48%,99.78%,97.28%,98.15%,61.92%,0.18%,0.35%,0.18%,0.36%
13,12-<13 mo,"6,734",108,522,98.19%,59.47%,99.76%,97.05%,98.43%,61.00%,0.18%,0.36%,0.18%,0.37%
14,13-<14 mo,"6,104",96,557,98.31%,58.49%,99.76%,96.82%,98.55%,60.12%,0.18%,0.37%,0.18%,0.38%
15,14-<15 mo,"5,451",78,545,98.38%,57.62%,99.76%,96.59%,98.61%,59.33%,0.19%,0.37%,0.19%,0.39%
16,15-<16 mo,"4,828",74,494,98.22%,56.69%,99.76%,96.36%,98.46%,58.48%,0.21%,0.38%,0.21%,0.40%
17,16-<17 mo,"4,260",66,569,98.20%,55.75%,99.77%,96.14%,98.43%,57.61%,0.22%,0.39%,0.23%,0.41%
18,17-<18 mo,"3,625",51,557,98.33%,54.90%,99.77%,95.93%,98.56%,56.83%,0.24%,0.40%,0.24%,0.42%
19,18-<19 mo,"3,017",46,498,98.18%,53.99%,99.77%,95.71%,98.41%,55.99%,0.27%,0.42%,0.27%,0.44%
20,19-<20 mo,"2,473",20,520,99.02%,53.50%,99.77%,95.50%,99.25%,55.58%,0.22%,0.43%,0.23%,0.45%
21,20-<21 mo,"1,933",23,529,98.55%,52.76%,99.77%,95.28%,98.78%,54.91%,0.31%,0.45%,0.31%,0.47%
22,21-<22 mo,"1,381",12,474,98.94%,52.20%,99.76%,95.06%,99.18%,54.44%,0.32%,0.47%,0.32%,0.50%
23,22-<23 mo,895,10,486,98.33%,51.39%,99.77%,94.84%,98.56%,53.69%,0.55%,0.53%,0.55%,0.56%
24,23-<24 mo,399,1,398,+,+,99.78%,94.64%,+,+,+,+,+,+
