Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,979,124,45,87.02%,87.02%,99.74%,99.74%,87.24%,87.24%,1.10%,1.10%,1.10%,1.10%
2,1-<2 mo,810,81,30,89.94%,78.37%,99.75%,99.49%,90.17%,78.76%,1.07%,1.35%,1.07%,1.35%
3,2-<3 mo,699,76,31,88.66%,69.58%,99.75%,99.24%,88.88%,70.08%,1.24%,1.53%,1.24%,1.54%
4,3-<4 mo,592,44,27,92.24%,64.39%,99.76%,99.00%,92.46%,64.98%,1.13%,1.60%,1.13%,1.62%
5,4-<5 mo,521,43,29,91.42%,59.00%,99.77%,98.77%,91.63%,59.66%,1.27%,1.67%,1.27%,1.69%
6,5-<6 mo,449,29,25,93.30%,55.03%,99.77%,98.54%,93.52%,55.77%,1.22%,1.72%,1.22%,1.74%
7,6-<7 mo,395,17,15,95.62%,52.73%,99.77%,98.32%,95.84%,53.54%,1.05%,1.73%,1.05%,1.76%
8,7-<8 mo,363,26,25,92.54%,48.74%,99.77%,98.10%,92.76%,49.59%,1.43%,1.77%,1.43%,1.81%
9,8-<9 mo,312,15,25,95.19%,46.36%,99.77%,97.87%,95.41%,47.27%,1.23%,1.80%,1.24%,1.83%
10,9-<10 mo,272,13,26,94.54%,43.76%,99.77%,97.65%,94.75%,44.73%,1.46%,1.83%,1.46%,1.87%
11,10-<11 mo,233,14,20,93.51%,41.05%,99.78%,97.44%,93.72%,42.03%,1.68%,1.85%,1.69%,1.90%
12,11-<12 mo,199,9,16,95.12%,39.15%,99.77%,97.22%,95.33%,40.15%,1.60%,1.87%,1.60%,1.92%
13,12-<13 mo,174,5,15,97.04%,37.99%,99.77%,97.00%,97.26%,39.04%,1.32%,1.89%,1.33%,1.94%
14,13-<14 mo,154,5,18,96.60%,36.70%,99.76%,96.77%,96.83%,37.80%,1.52%,1.91%,1.52%,1.97%
15,14-<15 mo,131,2,13,98.49%,36.07%,99.76%,96.55%,98.54%,37.18%,1.07%,1.93%,1.07%,1.99%
16,15-<16 mo,116,5,11,95.07%,34.53%,99.76%,96.32%,95.27%,35.67%,2.13%,1.97%,2.14%,2.04%
17,16-<17 mo,100,6,20,93.60%,32.32%,99.77%,96.10%,93.82%,33.46%,2.64%,2.05%,2.65%,2.12%
18,17-<18 mo,74,1,12,98.49%,31.75%,99.75%,95.86%,98.51%,32.89%,1.47%,2.08%,1.47%,2.16%
19,18-<19 mo,61,3,15,92.50%,29.88%,99.77%,95.65%,92.64%,30.97%,3.94%,2.20%,3.96%,2.29%
20,19-<20 mo,43,2,5,96.44%,28.51%,99.77%,95.43%,96.47%,29.61%,2.35%,2.32%,2.35%,2.42%
21,20-<21 mo,36,1,9,97.88%,27.80%,99.79%,95.23%,97.91%,28.89%,2.04%,2.37%,2.04%,2.47%
22,21-<22 mo,26,0,7,100.00%,27.80%,99.76%,95.01%,100.00%,28.89%,0.00%,2.37%,0.00%,2.47%
23,22-<23 mo,19,1,13,95.75%,26.48%,99.76%,94.79%,95.78%,27.56%,3.90%,2.56%,3.91%,2.66%
24,23-<24 mo,5,0,5,+,+,99.74%,94.55%,+,+,+,+,+,+
