Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,206,1,11,99.50%,99.50%,99.78%,99.78%,99.72%,99.72%,0.50%,0.50%,0.50%,0.50%
2,1-<2 mo,194,0,9,100.00%,99.50%,99.78%,99.56%,100.0000%*,99.7206%#,0.00%,0.50%,0.00%,0.4986%#
3,2-<3 mo,185,0,6,100.00%,99.50%,99.78%,99.35%,100.0000%*,99.7206%*#,0.00%,0.50%,0.00%,0.4986%#
4,3-<4 mo,179,0,6,100.00%,99.50%,99.78%,99.13%,100.0000%*,99.7206%*#,0.00%,0.50%,0.00%,0.4986%#
5,4-<5 mo,173,0,8,100.00%,99.50%,99.78%,98.91%,100.0000%*,99.7206%*#,0.00%,0.50%,0.00%,0.4986%#
6,5-<6 mo,165,0,6,100.00%,99.50%,99.78%,98.69%,100.0000%*,99.7206%*#,0.00%,0.50%,0.00%,0.4986%#
7,6-<7 mo,159,1,7,99.36%,98.86%,99.78%,98.47%,99.58%,99.7206%*#,0.64%,0.81%,0.64%,0.4986%#
8,7-<8 mo,151,0,11,100.00%,98.86%,99.78%,98.25%,100.0000%*,99.7206%*#,0.00%,0.81%,0.00%,0.4986%#
9,8-<9 mo,140,1,9,99.26%,98.13%,99.78%,98.03%,99.48%,99.7206%*#,0.74%,1.08%,0.74%,0.4986%#
10,9-<10 mo,130,0,10,100.00%,98.13%,99.78%,97.81%,100.0000%*,99.7206%*#,0.00%,1.08%,0.00%,0.4986%#
11,10-<11 mo,120,2,6,98.29%,96.45%,99.77%,97.58%,98.52%,98.84%,1.20%,1.59%,1.20%,1.62%
12,11-<12 mo,112,0,8,100.00%,96.45%,99.79%,97.38%,100.0000%*,98.8431%#,0.00%,1.59%,0.00%,1.6246%#
13,12-<13 mo,104,1,4,99.02%,95.51%,99.77%,97.15%,99.25%,98.31%,0.98%,1.83%,0.98%,1.88%
14,13-<14 mo,99,1,13,98.92%,94.48%,99.79%,96.94%,99.13%,97.45%,1.08%,2.08%,1.08%,2.15%
15,14-<15 mo,85,1,7,98.77%,93.32%,99.80%,96.75%,98.97%,96.45%,1.22%,2.36%,1.22%,2.44%
16,15-<16 mo,77,0,6,100.00%,93.32%,99.80%,96.56%,100.0000%*,96.4503%#,0.00%,2.36%,0.00%,2.4358%#
17,16-<17 mo,71,0,16,100.00%,93.32%,99.80%,96.36%,100.0000%*,96.4503%#,0.00%,2.36%,0.00%,2.4358%#
18,17-<18 mo,55,0,14,100.00%,93.32%,99.78%,96.15%,100.0000%*,96.4503%#,0.00%,2.36%,0.00%,2.4358%#
19,18-<19 mo,41,0,10,100.00%,93.32%,99.83%,95.98%,100.0000%*,96.4503%#,0.00%,2.36%,0.00%,2.4358%#
20,19-<20 mo,31,0,6,100.00%,93.32%,99.83%,95.82%,100.0000%*,96.4503%#,0.00%,2.36%,0.00%,2.4358%#
21,20-<21 mo,25,0,7,100.00%,93.32%,99.82%,95.64%,100.0000%*,96.4503%#,0.00%,2.36%,0.00%,2.4358%#
22,21-<22 mo,18,0,5,100.00%,93.32%,99.77%,95.42%,100.0000%*,96.4503%#,0.00%,2.36%,0.00%,2.4358%#
23,22-<23 mo,13,0,8,100.00%,93.32%,99.75%,95.18%,100.0000%*,96.4503%#,0.00%,2.36%,0.00%,2.4358%#
24,23-<24 mo,5,0,5,+,+,99.92%,95.10%,+,+,+,+,+,+
