Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,83,2,6,97.50%,97.50%,99.78%,99.78%,97.72%,97.72%,1.75%,1.75%,1.75%,1.75%
2,1-<2 mo,75,0,3,100.00%,97.50%,99.78%,99.56%,100.0000%*,97.7198%#,0.00%,1.75%,0.00%,1.7495%#
3,2-<3 mo,72,2,2,97.18%,94.75%,99.80%,99.35%,97.38%,95.37%,1.96%,2.56%,1.97%,2.57%
4,3-<4 mo,68,3,3,95.49%,90.48%,99.80%,99.15%,95.68%,91.25%,2.55%,3.43%,2.55%,3.46%
5,4-<5 mo,62,3,4,95.00%,85.96%,99.79%,98.94%,95.20%,86.87%,2.81%,4.14%,2.82%,4.18%
6,5-<6 mo,55,1,4,98.11%,84.33%,99.78%,98.72%,98.33%,85.42%,1.87%,4.37%,1.87%,4.42%
7,6-<7 mo,50,0,5,100.00%,84.33%,99.78%,98.51%,100.0000%*,85.4230%#,0.00%,4.37%,0.00%,4.4216%#
8,7-<8 mo,45,0,2,100.00%,84.33%,99.77%,98.27%,100.0000%*,85.4230%#,0.00%,4.37%,0.00%,4.4216%#
9,8-<9 mo,43,3,2,92.86%,78.31%,99.77%,98.05%,93.07%,79.87%,3.97%,5.26%,3.98%,5.36%
10,9-<10 mo,38,0,2,100.00%,78.31%,99.80%,97.85%,100.0000%*,79.8683%#,0.00%,5.26%,0.00%,5.3641%#
11,10-<11 mo,36,2,1,94.37%,73.90%,99.81%,97.66%,94.54%,75.66%,3.87%,5.82%,3.88%,5.95%
12,11-<12 mo,33,0,6,100.00%,73.90%,99.82%,97.48%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
13,12-<13 mo,27,0,4,100.00%,73.90%,99.78%,97.27%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
14,13-<14 mo,23,0,1,100.00%,73.90%,99.76%,97.04%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
15,14-<15 mo,22,0,4,100.00%,73.90%,99.78%,96.82%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
16,15-<16 mo,18,0,4,100.00%,73.90%,99.77%,96.60%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
17,16-<17 mo,14,0,2,100.00%,73.90%,99.84%,96.45%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
18,17-<18 mo,12,0,4,100.00%,73.90%,99.84%,96.29%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
19,18-<19 mo,8,0,1,100.00%,73.90%,99.81%,96.11%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
20,19-<20 mo,7,0,1,100.00%,73.90%,99.82%,95.94%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
21,20-<21 mo,6,0,1,100.00%,73.90%,99.80%,95.74%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
22,21-<22 mo,5,0,1,100.00%,73.90%,99.78%,95.53%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
23,22-<23 mo,4,0,3,100.00%,73.90%,99.74%,95.28%,100.0000%*,75.6644%#,0.00%,5.82%,0.00%,5.9542%#
24,23-<24 mo,1,0,1,+,+,99.82%,95.12%,+,+,+,+,+,+
