Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,355,48,29,87.68%,87.68%,99.73%,99.73%,87.90%,87.90%,1.64%,1.64%,1.65%,1.65%
2,1-<2 mo,278,33,10,88.50%,77.85%,99.77%,99.50%,88.70%,78.21%,1.90%,2.19%,1.91%,2.20%
3,2-<3 mo,235,19,12,91.94%,71.75%,99.77%,99.27%,92.15%,72.21%,1.78%,2.44%,1.78%,2.46%
4,3-<4 mo,204,18,8,91.41%,66.03%,99.77%,99.05%,91.61%,66.57%,1.92%,2.60%,1.93%,2.62%
5,4-<5 mo,178,14,14,92.11%,61.57%,99.77%,98.82%,92.30%,62.15%,1.98%,2.66%,1.98%,2.69%
6,5-<6 mo,150,8,9,94.51%,58.20%,99.79%,98.61%,94.71%,58.85%,1.88%,2.78%,1.89%,2.82%
7,6-<7 mo,133,7,5,94.63%,55.09%,99.78%,98.40%,94.84%,55.80%,1.97%,2.88%,1.98%,2.92%
8,7-<8 mo,121,6,7,94.80%,53.01%,99.78%,98.19%,94.97%,53.72%,1.99%,2.88%,2.00%,2.93%
9,8-<9 mo,108,6,4,94.38%,49.92%,99.79%,97.98%,94.58%,50.70%,2.24%,2.99%,2.24%,3.04%
10,9-<10 mo,98,3,9,96.81%,48.26%,99.80%,97.78%,97.01%,49.10%,1.82%,3.05%,1.82%,3.10%
11,10-<11 mo,86,6,5,92.83%,44.94%,99.78%,97.57%,93.03%,45.79%,2.83%,3.14%,2.83%,3.20%
12,11-<12 mo,75,3,4,95.91%,43.35%,99.78%,97.36%,96.10%,44.21%,2.30%,3.17%,2.31%,3.23%
13,12-<13 mo,68,3,4,95.83%,41.01%,99.76%,97.13%,95.86%,41.89%,2.33%,3.27%,2.33%,3.33%
14,13-<14 mo,61,3,2,94.66%,39.13%,99.75%,96.89%,94.89%,40.07%,2.97%,3.32%,2.98%,3.39%
15,14-<15 mo,56,0,7,100.00%,39.13%,99.78%,96.68%,100.00%,40.07%,0.00%,3.32%,0.00%,3.39%
16,15-<16 mo,49,0,6,100.00%,39.13%,99.79%,96.48%,100.00%,40.07%,0.00%,3.32%,0.00%,3.39%
17,16-<17 mo,43,2,2,95.27%,37.22%,99.79%,96.29%,95.44%,38.27%,3.23%,3.46%,3.24%,3.55%
18,17-<18 mo,39,1,7,97.26%,36.55%,99.79%,96.09%,97.44%,37.60%,2.65%,3.47%,2.66%,3.56%
19,18-<19 mo,31,0,7,100.00%,36.55%,99.77%,95.87%,100.00%,37.60%,0.00%,3.47%,0.00%,3.56%
20,19-<20 mo,24,1,4,96.32%,34.88%,99.75%,95.64%,96.34%,35.97%,3.43%,3.67%,3.43%,3.77%
21,20-<21 mo,19,0,5,100.00%,34.88%,99.71%,95.37%,100.00%,35.97%,0.00%,3.67%,0.00%,3.77%
22,21-<22 mo,14,2,3,82.41%,26.85%,99.71%,95.10%,82.44%,27.89%,10.39%,5.61%,10.40%,5.71%
23,22-<23 mo,9,0,4,100.00%,26.85%,99.68%,94.81%,100.00%,27.89%,0.00%,5.61%,0.00%,5.71%
24,23-<24 mo,5,0,5,+,+,99.60%,94.45%,+,+,+,+,+,+
