Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,84,4,5,95.09%,95.09%,99.72%,99.72%,95.36%,95.36%,2.39%,2.39%,2.40%,2.40%
2,1-<2 mo,75,4,2,94.59%,89.95%,99.75%,99.47%,94.84%,90.43%,2.63%,3.37%,2.64%,3.39%
3,2-<3 mo,69,4,1,94.16%,84.70%,99.74%,99.21%,94.41%,85.37%,2.83%,4.07%,2.84%,4.10%
4,3-<4 mo,64,6,3,90.40%,76.57%,99.76%,98.97%,90.62%,77.36%,3.73%,4.85%,3.74%,4.90%
5,4-<5 mo,55,3,2,94.44%,72.31%,99.75%,98.72%,94.69%,73.25%,3.12%,5.16%,3.13%,5.23%
6,5-<6 mo,50,2,3,95.88%,69.33%,99.74%,98.46%,96.13%,70.42%,2.86%,5.36%,2.86%,5.45%
7,6-<7 mo,45,2,2,95.45%,66.18%,99.72%,98.19%,95.72%,67.40%,3.14%,5.56%,3.15%,5.67%
8,7-<8 mo,41,2,2,95.00%,62.87%,99.71%,97.90%,95.28%,64.22%,3.45%,5.76%,3.46%,5.88%
9,8-<9 mo,37,3,2,91.67%,57.63%,99.70%,97.61%,91.94%,59.04%,4.61%,6.02%,4.62%,6.17%
10,9-<10 mo,32,3,3,90.16%,51.96%,99.69%,97.31%,90.45%,53.40%,5.39%,6.25%,5.41%,6.43%
11,10-<11 mo,26,2,4,91.67%,47.63%,99.66%,96.98%,91.98%,49.12%,5.64%,6.44%,5.66%,6.64%
12,11-<12 mo,20,1,1,94.87%,45.19%,99.68%,96.68%,95.17%,46.74%,5.00%,6.56%,5.01%,6.78%
13,12-<13 mo,18,1,1,94.29%,42.61%,99.65%,96.33%,94.62%,44.23%,5.55%,6.67%,5.57%,6.92%
14,13-<14 mo,16,0,0,100.00%,42.61%,99.65%,95.99%,100.0000%*,44.2301%#,0.00%,6.67%,0.00%,6.9244%#
15,14-<15 mo,16,0,2,100.00%,42.61%,99.65%,95.66%,100.0000%*,44.2301%#,0.00%,6.67%,0.00%,6.9244%#
16,15-<16 mo,14,0,3,100.00%,42.61%,99.62%,95.30%,100.0000%*,44.2301%#,0.00%,6.67%,0.00%,6.9244%#
17,16-<17 mo,11,2,1,80.95%,34.49%,99.67%,94.99%,81.22%,36.31%,12.12%,7.47%,12.16%,7.87%
18,17-<18 mo,8,0,2,100.00%,34.49%,99.82%,94.82%,100.0000%*,36.3127%#,0.00%,7.47%,0.00%,7.8655%#
19,18-<19 mo,6,0,2,100.00%,34.49%,99.85%,94.68%,100.0000%*,36.3127%#,0.00%,7.47%,0.00%,7.8655%#
20,19-<20 mo,4,0,0,100.00%,34.49%,99.84%,94.53%,100.0000%*,36.3127%#,0.00%,7.47%,0.00%,7.8655%#
21,20-<21 mo,4,0,0,100.00%,34.49%,99.84%,94.38%,100.0000%*,36.3127%#,0.00%,7.47%,0.00%,7.8655%#
22,21-<22 mo,4,0,3,100.00%,34.49%,99.84%,94.23%,100.0000%*,36.3127%#,0.00%,7.47%,0.00%,7.8655%#
23,22-<23 mo,1,0,1,+,+,99.84%,94.08%,+,+,+,+,+,+
