Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,356,56,14,83.95%,83.95%,99.73%,99.73%,84.18%,84.18%,1.96%,1.96%,1.97%,1.97%
2,1-<2 mo,286,51,8,81.91%,68.77%,99.74%,99.47%,82.13%,69.13%,2.29%,2.51%,2.30%,2.52%
3,2-<3 mo,227,39,14,82.27%,56.58%,99.76%,99.23%,82.47%,57.02%,2.57%,2.72%,2.58%,2.74%
4,3-<4 mo,174,21,9,87.61%,49.57%,99.77%,99.00%,87.82%,50.07%,2.53%,2.78%,2.54%,2.81%
5,4-<5 mo,144,14,11,89.89%,44.56%,99.76%,98.76%,90.11%,45.12%,2.56%,2.80%,2.57%,2.84%
6,5-<6 mo,119,11,7,90.48%,40.32%,99.78%,98.54%,90.68%,40.91%,2.73%,2.81%,2.74%,2.85%
7,6-<7 mo,101,8,12,91.58%,36.92%,99.79%,98.34%,91.77%,37.55%,2.85%,2.82%,2.86%,2.87%
8,7-<8 mo,81,7,7,90.97%,33.59%,99.78%,98.12%,91.17%,34.23%,3.26%,2.83%,3.26%,2.89%
9,8-<9 mo,67,3,2,95.45%,32.06%,99.80%,97.92%,95.65%,32.74%,2.56%,2.84%,2.57%,2.90%
10,9-<10 mo,62,6,6,89.83%,28.80%,99.82%,97.74%,90.00%,29.47%,3.93%,2.84%,3.94%,2.91%
11,10-<11 mo,50,4,4,91.67%,26.40%,99.81%,97.55%,91.85%,27.06%,3.99%,2.85%,4.00%,2.92%
12,11-<12 mo,42,4,7,89.61%,23.66%,99.79%,97.34%,89.80%,24.30%,4.92%,2.86%,4.93%,2.94%
13,12-<13 mo,31,1,2,96.67%,22.87%,99.79%,97.14%,96.87%,23.54%,3.28%,2.88%,3.28%,2.96%
14,13-<14 mo,28,2,3,92.45%,21.14%,99.78%,96.92%,92.66%,21.81%,5.13%,2.91%,5.14%,3.00%
15,14-<15 mo,23,2,1,91.11%,19.26%,99.75%,96.68%,91.34%,19.92%,6.00%,2.94%,6.01%,3.04%
16,15-<16 mo,20,1,3,94.59%,18.22%,99.75%,96.44%,94.83%,18.89%,5.26%,2.96%,5.27%,3.07%
17,16-<17 mo,16,1,2,93.33%,17.01%,99.79%,96.24%,93.53%,17.67%,6.44%,3.00%,6.45%,3.12%
18,17-<18 mo,13,0,1,100.00%,17.01%,99.82%,96.07%,100.0000%*,17.6710%#,0.00%,3.00%,0.00%,3.1153%#
19,18-<19 mo,12,1,0,91.67%,15.59%,99.81%,95.88%,91.84%,16.26%,7.98%,3.07%,7.99%,3.20%
20,19-<20 mo,11,0,3,100.00%,15.59%,99.81%,95.70%,100.0000%*,16.2587%#,0.00%,3.07%,0.00%,3.1966%#
21,20-<21 mo,8,0,4,100.00%,15.59%,99.90%,95.61%,100.0000%*,16.2587%#,0.00%,3.07%,0.00%,3.1966%#
22,21-<22 mo,4,1,1,71.43%,11.14%,99.96%,95.57%,71.46%,11.65%,24.15%,4.35%,24.16%,4.56%
23,22-<23 mo,2,0,0,100.00%,11.14%,99.98%,95.56%,100.0000%*,11.6513%#,0.00%,4.35%,0.00%,4.5565%#
24,23-<24 mo,2,0,2,+,+,99.98%,95.54%,+,+,+,+,+,+
