Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,717",492,102,81.55%,81.55%,99.76%,99.76%,81.74%,81.74%,0.75%,0.75%,0.75%,0.75%
2,1-<2 mo,"2,123",303,70,85.49%,69.71%,99.78%,99.54%,85.68%,70.03%,0.77%,0.90%,0.77%,0.90%
3,2-<3 mo,"1,750",249,71,85.48%,59.59%,99.78%,99.33%,85.66%,59.99%,0.85%,0.97%,0.85%,0.98%
4,3-<4 mo,"1,430",153,57,89.08%,53.08%,99.80%,99.13%,89.26%,53.55%,0.83%,1.00%,0.83%,1.01%
5,4-<5 mo,"1,220",97,71,91.81%,48.74%,99.81%,98.94%,91.99%,49.26%,0.80%,1.01%,0.80%,1.02%
6,5-<6 mo,"1,052",70,59,93.15%,45.40%,99.82%,98.75%,93.33%,45.97%,0.79%,1.02%,0.79%,1.03%
7,6-<7 mo,923,63,59,92.95%,42.20%,99.82%,98.58%,93.12%,42.81%,0.86%,1.02%,0.86%,1.04%
8,7-<8 mo,801,46,42,94.10%,39.71%,99.82%,98.40%,94.27%,40.36%,0.84%,1.02%,0.85%,1.04%
9,8-<9 mo,713,30,56,95.62%,37.97%,99.83%,98.23%,95.79%,38.66%,0.78%,1.03%,0.78%,1.05%
10,9-<10 mo,627,30,43,95.05%,36.09%,99.82%,98.05%,95.21%,36.81%,0.88%,1.03%,0.88%,1.05%
11,10-<11 mo,554,15,47,97.17%,35.07%,99.83%,97.89%,97.34%,35.83%,0.72%,1.04%,0.72%,1.06%
12,11-<12 mo,492,29,44,93.83%,32.90%,99.82%,97.71%,94.00%,33.68%,1.11%,1.05%,1.11%,1.07%
13,12-<13 mo,419,13,27,96.79%,31.85%,99.80%,97.52%,96.99%,32.66%,0.87%,1.05%,0.88%,1.08%
14,13-<14 mo,379,11,35,96.96%,30.88%,99.81%,97.33%,97.14%,31.73%,0.90%,1.06%,0.91%,1.09%
15,14-<15 mo,333,12,33,96.21%,29.71%,99.81%,97.15%,96.39%,30.58%,1.07%,1.07%,1.08%,1.11%
16,15-<16 mo,288,15,24,94.57%,28.10%,99.81%,96.96%,94.74%,28.98%,1.36%,1.09%,1.37%,1.13%
17,16-<17 mo,249,12,46,94.69%,26.60%,99.82%,96.79%,94.86%,27.49%,1.49%,1.12%,1.49%,1.15%
18,17-<18 mo,191,3,27,98.31%,26.15%,99.83%,96.63%,98.48%,27.07%,0.97%,1.13%,0.97%,1.17%
19,18-<19 mo,161,9,24,93.96%,24.57%,99.83%,96.46%,94.12%,25.48%,1.95%,1.18%,1.96%,1.22%
20,19-<20 mo,128,1,34,99.10%,24.35%,99.82%,96.29%,99.27%,25.29%,0.90%,1.19%,0.90%,1.23%
21,20-<21 mo,93,2,32,97.40%,23.72%,99.81%,96.10%,97.59%,24.68%,1.81%,1.24%,1.82%,1.29%
22,21-<22 mo,59,1,21,97.94%,23.23%,99.81%,95.92%,98.12%,24.22%,2.04%,1.30%,2.04%,1.36%
23,22-<23 mo,37,1,24,96.00%,22.30%,99.82%,95.74%,96.18%,23.29%,3.92%,1.55%,3.93%,1.62%
24,23-<24 mo,12,0,12,+,+,99.77%,95.52%,+,+,+,+,+,+
