Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"6,163",354,298,94.11%,94.11%,99.78%,99.78%,94.32%,94.32%,0.30%,0.30%,0.30%,0.30%
2,1-<2 mo,"5,511",173,238,96.79%,91.09%,99.79%,99.57%,96.99%,91.48%,0.24%,0.37%,0.24%,0.37%
3,2-<3 mo,"5,100",110,266,97.79%,89.08%,99.80%,99.38%,97.98%,89.64%,0.21%,0.41%,0.21%,0.41%
4,3-<4 mo,"4,724",73,239,98.41%,87.66%,99.81%,99.19%,98.60%,88.38%,0.18%,0.43%,0.18%,0.44%
5,4-<5 mo,"4,412",58,239,98.65%,86.48%,99.81%,99.00%,98.83%,87.35%,0.18%,0.46%,0.18%,0.46%
6,5-<6 mo,"4,115",52,261,98.69%,85.35%,99.82%,98.82%,98.88%,86.37%,0.18%,0.48%,0.18%,0.48%
7,6-<7 mo,"3,802",40,211,98.92%,84.43%,99.82%,98.64%,99.09%,85.59%,0.17%,0.49%,0.17%,0.50%
8,7-<8 mo,"3,551",32,223,99.07%,83.64%,99.82%,98.47%,99.24%,84.94%,0.16%,0.51%,0.16%,0.52%
9,8-<9 mo,"3,296",28,251,99.12%,82.90%,99.83%,98.30%,99.29%,84.34%,0.17%,0.52%,0.17%,0.53%
10,9-<10 mo,"3,017",22,211,99.24%,82.28%,99.83%,98.13%,99.42%,83.85%,0.16%,0.53%,0.16%,0.54%
11,10-<11 mo,"2,784",14,217,99.48%,81.85%,99.83%,97.96%,99.65%,83.55%,0.14%,0.54%,0.14%,0.56%
12,11-<12 mo,"2,553",27,212,98.90%,80.94%,99.83%,97.79%,99.07%,82.77%,0.21%,0.57%,0.21%,0.58%
13,12-<13 mo,"2,314",11,176,99.51%,80.54%,99.81%,97.61%,99.69%,82.52%,0.15%,0.58%,0.15%,0.59%
14,13-<14 mo,"2,127",7,189,99.66%,80.27%,99.81%,97.42%,99.84%,82.39%,0.13%,0.58%,0.13%,0.60%
15,14-<15 mo,"1,931",10,205,99.45%,79.83%,99.81%,97.24%,99.64%,82.09%,0.17%,0.60%,0.17%,0.61%
16,15-<16 mo,"1,716",6,217,99.63%,79.53%,99.82%,97.06%,99.81%,81.94%,0.15%,0.61%,0.15%,0.62%
17,16-<17 mo,"1,493",4,203,99.71%,79.30%,99.82%,96.88%,99.90%,81.85%,0.14%,0.61%,0.14%,0.63%
18,17-<18 mo,"1,286",4,217,99.66%,79.03%,99.82%,96.71%,99.84%,81.72%,0.17%,0.63%,0.17%,0.65%
19,18-<19 mo,"1,065",2,178,99.80%,78.87%,99.82%,96.54%,99.97%,81.70%,0.14%,0.64%,0.15%,0.66%
20,19-<20 mo,885,4,163,99.50%,78.48%,99.83%,96.38%,99.67%,81.43%,0.25%,0.66%,0.25%,0.69%
21,20-<21 mo,718,3,188,99.52%,78.10%,99.83%,96.21%,99.69%,81.17%,0.28%,0.69%,0.28%,0.72%
22,21-<22 mo,527,2,186,99.54%,77.74%,99.83%,96.06%,99.70%,80.93%,0.33%,0.74%,0.33%,0.77%
23,22-<23 mo,339,0,194,100.00%,77.74%,99.83%,95.89%,100.0000%*,80.9322%#,0.00%,0.74%,0.00%,0.7666%#
24,23-<24 mo,145,0,145,+,+,99.84%,95.74%,+,+,+,+,+,+
