Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,419",242,167,92.74%,92.74%,99.76%,99.76%,92.97%,92.97%,0.45%,0.45%,0.45%,0.45%
2,1-<2 mo,"3,010",104,124,96.47%,89.47%,99.77%,99.54%,96.69%,89.89%,0.34%,0.54%,0.34%,0.54%
3,2-<3 mo,"2,782",71,150,97.38%,87.13%,99.79%,99.33%,97.58%,87.72%,0.31%,0.59%,0.31%,0.59%
4,3-<4 mo,"2,561",51,129,97.96%,85.35%,99.79%,99.12%,98.16%,86.10%,0.28%,0.63%,0.28%,0.63%
5,4-<5 mo,"2,381",34,113,98.54%,84.10%,99.80%,98.92%,98.74%,85.02%,0.25%,0.65%,0.25%,0.66%
6,5-<6 mo,"2,234",38,152,98.24%,82.62%,99.80%,98.72%,98.43%,83.69%,0.28%,0.69%,0.28%,0.69%
7,6-<7 mo,"2,044",29,113,98.54%,81.41%,99.81%,98.54%,98.73%,82.62%,0.27%,0.71%,0.27%,0.72%
8,7-<8 mo,"1,902",27,125,98.53%,80.22%,99.81%,98.35%,98.72%,81.56%,0.28%,0.74%,0.28%,0.75%
9,8-<9 mo,"1,750",18,146,98.93%,79.36%,99.82%,98.17%,99.11%,80.83%,0.25%,0.76%,0.25%,0.77%
10,9-<10 mo,"1,586",18,109,98.82%,78.42%,99.82%,97.99%,99.01%,80.03%,0.28%,0.78%,0.28%,0.79%
11,10-<11 mo,"1,459",10,104,99.29%,77.87%,99.82%,97.82%,99.47%,79.60%,0.22%,0.79%,0.22%,0.81%
12,11-<12 mo,"1,345",14,107,98.92%,77.02%,99.82%,97.64%,99.09%,78.88%,0.29%,0.82%,0.29%,0.84%
13,12-<13 mo,"1,224",8,88,99.32%,76.50%,99.80%,97.44%,99.52%,78.51%,0.24%,0.83%,0.24%,0.85%
14,13-<14 mo,"1,128",5,100,99.54%,76.14%,99.80%,97.25%,99.74%,78.30%,0.21%,0.84%,0.21%,0.87%
15,14-<15 mo,"1,023",5,106,99.48%,75.75%,99.80%,97.05%,99.68%,78.05%,0.23%,0.86%,0.23%,0.88%
16,15-<16 mo,912,3,121,99.65%,75.49%,99.80%,96.86%,99.84%,77.93%,0.20%,0.87%,0.20%,0.89%
17,16-<17 mo,788,3,100,99.59%,75.18%,99.80%,96.67%,99.79%,77.77%,0.23%,0.88%,0.23%,0.91%
18,17-<18 mo,685,3,126,99.52%,74.82%,99.81%,96.48%,99.71%,77.54%,0.28%,0.90%,0.28%,0.93%
19,18-<19 mo,556,1,88,99.80%,74.67%,99.81%,96.30%,99.99%,77.53%,0.20%,0.91%,0.20%,0.95%
20,19-<20 mo,467,2,95,99.52%,74.31%,99.82%,96.13%,99.71%,77.31%,0.34%,0.94%,0.34%,0.98%
21,20-<21 mo,370,2,85,99.39%,73.86%,99.82%,95.95%,99.57%,76.98%,0.43%,0.99%,0.43%,1.03%
22,21-<22 mo,283,1,95,99.58%,73.55%,99.82%,95.78%,99.75%,76.79%,0.42%,1.03%,0.42%,1.08%
23,22-<23 mo,187,0,103,100.00%,73.55%,99.82%,95.60%,100.0000%*,76.7852%#,0.00%,1.03%,0.00%,1.0784%#
24,23-<24 mo,84,0,84,+,+,99.83%,95.44%,+,+,+,+,+,+
