Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"5,546",333,272,93.84%,93.84%,99.76%,99.76%,94.07%,94.07%,0.33%,0.33%,0.33%,0.33%
2,1-<2 mo,"4,941",162,212,96.65%,90.70%,99.78%,99.54%,96.87%,91.12%,0.26%,0.40%,0.26%,0.40%
3,2-<3 mo,"4,567",108,240,97.57%,88.50%,99.79%,99.33%,97.78%,89.09%,0.23%,0.44%,0.23%,0.44%
4,3-<4 mo,"4,219",65,212,98.42%,87.10%,99.79%,99.12%,98.62%,87.87%,0.19%,0.47%,0.19%,0.47%
5,4-<5 mo,"3,942",52,202,98.65%,85.92%,99.80%,98.92%,98.85%,86.86%,0.19%,0.49%,0.19%,0.49%
6,5-<6 mo,"3,688",50,242,98.60%,84.72%,99.80%,98.73%,98.80%,85.81%,0.20%,0.51%,0.20%,0.52%
7,6-<7 mo,"3,396",38,187,98.85%,83.74%,99.81%,98.53%,99.04%,84.99%,0.19%,0.53%,0.19%,0.54%
8,7-<8 mo,"3,171",31,197,98.99%,82.90%,99.81%,98.35%,99.18%,84.29%,0.18%,0.54%,0.18%,0.55%
9,8-<9 mo,"2,943",25,234,99.12%,82.16%,99.81%,98.16%,99.30%,83.70%,0.18%,0.56%,0.18%,0.57%
10,9-<10 mo,"2,684",22,179,99.15%,81.47%,99.81%,97.98%,99.34%,83.15%,0.18%,0.57%,0.18%,0.59%
11,10-<11 mo,"2,483",14,184,99.41%,80.99%,99.81%,97.79%,99.60%,82.82%,0.16%,0.58%,0.16%,0.60%
12,11-<12 mo,"2,285",26,193,98.81%,80.03%,99.81%,97.61%,99.00%,81.99%,0.23%,0.61%,0.23%,0.62%
13,12-<13 mo,"2,066",11,155,99.45%,79.58%,99.79%,97.41%,99.65%,81.70%,0.17%,0.62%,0.17%,0.64%
14,13-<14 mo,"1,900",7,169,99.61%,79.28%,99.79%,97.21%,99.82%,81.56%,0.15%,0.63%,0.15%,0.64%
15,14-<15 mo,"1,724",10,174,99.39%,78.79%,99.80%,97.01%,99.59%,81.22%,0.19%,0.64%,0.19%,0.66%
16,15-<16 mo,"1,540",5,197,99.65%,78.52%,99.80%,96.81%,99.85%,81.10%,0.15%,0.65%,0.16%,0.67%
17,16-<17 mo,"1,338",4,178,99.68%,78.27%,99.80%,96.62%,99.88%,81.01%,0.16%,0.66%,0.16%,0.68%
18,17-<18 mo,"1,156",4,198,99.62%,77.97%,99.80%,96.43%,99.82%,80.86%,0.19%,0.67%,0.19%,0.70%
19,18-<19 mo,954,2,160,99.77%,77.79%,99.81%,96.25%,99.96%,80.83%,0.16%,0.68%,0.16%,0.71%
20,19-<20 mo,792,4,152,99.44%,77.36%,99.81%,96.07%,99.63%,80.52%,0.28%,0.71%,0.28%,0.74%
21,20-<21 mo,636,3,164,99.46%,76.94%,99.82%,95.89%,99.64%,80.24%,0.31%,0.75%,0.31%,0.78%
22,21-<22 mo,469,2,171,99.48%,76.54%,99.82%,95.72%,99.66%,79.96%,0.37%,0.80%,0.37%,0.83%
23,22-<23 mo,296,0,171,100.00%,76.54%,99.81%,95.53%,100.0000%*,79.9624%#,0.00%,0.80%,0.00%,0.8342%#
24,23-<24 mo,125,0,125,+,+,99.82%,95.36%,+,+,+,+,+,+
