Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,178,7,5,96.01%,96.01%,99.77%,99.77%,96.24%,96.24%,1.48%,1.48%,1.48%,1.48%
2,1-<2 mo,166,2,9,98.76%,94.82%,99.78%,99.54%,98.98%,95.26%,0.87%,1.68%,0.87%,1.69%
3,2-<3 mo,155,10,9,93.36%,88.52%,99.78%,99.33%,93.56%,89.12%,2.03%,2.48%,2.03%,2.50%
4,3-<4 mo,136,3,11,97.70%,86.49%,99.80%,99.13%,97.90%,87.25%,1.31%,2.69%,1.31%,2.71%
5,4-<5 mo,122,3,2,97.52%,84.34%,99.79%,98.92%,97.72%,85.26%,1.41%,2.89%,1.42%,2.93%
6,5-<6 mo,117,5,8,95.58%,80.61%,99.80%,98.72%,95.77%,81.66%,1.93%,3.21%,1.94%,3.25%
7,6-<7 mo,104,5,4,95.10%,76.66%,99.80%,98.52%,95.29%,77.81%,2.14%,3.51%,2.14%,3.56%
8,7-<8 mo,95,3,5,96.76%,74.17%,99.81%,98.34%,96.94%,75.43%,1.84%,3.68%,1.85%,3.74%
9,8-<9 mo,87,1,4,98.82%,73.30%,99.80%,98.14%,99.02%,74.69%,1.17%,3.73%,1.17%,3.80%
10,9-<10 mo,82,2,10,97.40%,71.40%,99.84%,97.99%,97.56%,72.86%,1.81%,3.87%,1.82%,3.95%
11,10-<11 mo,70,2,7,96.99%,69.25%,99.84%,97.83%,97.14%,70.78%,2.09%,4.04%,2.10%,4.13%
12,11-<12 mo,61,2,8,96.49%,66.82%,99.84%,97.67%,96.65%,68.41%,2.44%,4.25%,2.44%,4.35%
13,12-<13 mo,51,2,4,95.92%,64.09%,99.84%,97.52%,96.08%,65.73%,2.83%,4.49%,2.83%,4.61%
14,13-<14 mo,45,1,6,97.62%,62.57%,99.85%,97.37%,97.76%,64.26%,2.35%,4.64%,2.36%,4.76%
15,14-<15 mo,38,3,4,91.67%,57.35%,99.84%,97.21%,91.81%,59.00%,4.61%,5.14%,4.61%,5.28%
16,15-<16 mo,31,0,5,100.00%,57.35%,99.84%,97.06%,100.0000%*,58.9955%#,0.00%,5.14%,0.00%,5.2834%#
17,16-<17 mo,26,0,4,100.00%,57.35%,99.83%,96.89%,100.0000%*,58.9955%#,0.00%,5.14%,0.00%,5.2834%#
18,17-<18 mo,22,0,3,100.00%,57.35%,99.84%,96.74%,100.0000%*,58.9955%#,0.00%,5.14%,0.00%,5.2834%#
19,18-<19 mo,19,0,3,100.00%,57.35%,99.83%,96.57%,100.0000%*,58.9955%#,0.00%,5.14%,0.00%,5.2834%#
20,19-<20 mo,16,0,4,100.00%,57.35%,99.83%,96.41%,100.0000%*,58.9955%#,0.00%,5.14%,0.00%,5.2834%#
21,20-<21 mo,12,0,3,100.00%,57.35%,99.82%,96.23%,100.0000%*,58.9955%#,0.00%,5.14%,0.00%,5.2834%#
22,21-<22 mo,9,0,3,100.00%,57.35%,99.84%,96.08%,100.0000%*,58.9955%#,0.00%,5.14%,0.00%,5.2834%#
23,22-<23 mo,6,0,4,100.00%,57.35%,99.82%,95.90%,100.0000%*,58.9955%#,0.00%,5.14%,0.00%,5.2834%#
24,23-<24 mo,2,0,2,+,+,99.80%,95.71%,+,+,+,+,+,+
