Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,141,8,12,93.20%,93.20%,99.80%,99.80%,93.39%,93.39%,2.38%,2.38%,2.39%,2.39%
2,1-<2 mo,121,8,10,92.99%,86.70%,99.79%,99.59%,93.18%,87.05%,2.57%,3.23%,2.58%,3.25%
3,2-<3 mo,103,2,3,97.35%,84.43%,99.81%,99.40%,97.53%,84.92%,1.87%,3.51%,1.87%,3.54%
4,3-<4 mo,98,2,1,97.76%,82.59%,99.81%,99.21%,97.92%,83.20%,1.70%,3.68%,1.71%,3.72%
5,4-<5 mo,95,4,6,95.20%,78.77%,99.82%,99.03%,95.34%,79.45%,2.54%,3.99%,2.55%,4.05%
6,5-<6 mo,85,0,5,100.00%,78.77%,99.82%,98.85%,100.00%,79.45%,0.00%,3.99%,0.00%,4.05%
7,6-<7 mo,80,0,7,100.00%,78.77%,99.83%,98.69%,100.00%,79.45%,0.00%,3.99%,0.00%,4.05%
8,7-<8 mo,73,0,3,100.00%,78.77%,99.83%,98.53%,100.00%,79.45%,0.00%,3.99%,0.00%,4.05%
9,8-<9 mo,70,2,6,95.79%,75.70%,99.84%,98.37%,95.91%,76.71%,3.34%,4.45%,3.35%,4.56%
10,9-<10 mo,62,0,6,100.00%,75.70%,99.82%,98.19%,100.00%,76.71%,0.00%,4.45%,0.00%,4.56%
11,10-<11 mo,56,0,6,100.00%,75.70%,99.81%,98.01%,100.00%,76.71%,0.00%,4.45%,0.00%,4.56%
12,11-<12 mo,50,1,5,94.85%,72.36%,99.81%,97.82%,94.99%,73.53%,4.84%,5.15%,4.85%,5.32%
13,12-<13 mo,44,1,1,98.38%,70.94%,99.81%,97.63%,98.41%,72.36%,1.57%,5.29%,1.58%,5.47%
14,13-<14 mo,42,2,4,96.57%,68.14%,99.81%,97.44%,96.61%,69.59%,2.36%,5.56%,2.36%,5.74%
15,14-<15 mo,36,0,4,100.00%,68.14%,99.81%,97.26%,100.00%,69.59%,0.00%,5.56%,0.00%,5.74%
16,15-<16 mo,32,0,2,100.00%,68.14%,99.81%,97.07%,100.00%,69.59%,0.00%,5.56%,0.00%,5.74%
17,16-<17 mo,30,0,5,100.00%,68.14%,99.81%,96.89%,100.00%,69.59%,0.00%,5.56%,0.00%,5.74%
18,17-<18 mo,25,0,2,100.00%,68.14%,99.80%,96.70%,100.00%,69.59%,0.00%,5.56%,0.00%,5.74%
19,18-<19 mo,23,0,3,100.00%,68.14%,99.81%,96.52%,100.00%,69.59%,0.00%,5.56%,0.00%,5.74%
20,19-<20 mo,20,0,3,100.00%,68.14%,99.81%,96.33%,100.00%,69.59%,0.00%,5.56%,0.00%,5.74%
21,20-<21 mo,17,0,6,100.00%,68.14%,99.80%,96.15%,100.00%,69.59%,0.00%,5.56%,0.00%,5.74%
22,21-<22 mo,11,0,2,100.00%,68.14%,99.75%,95.91%,100.00%,69.59%,0.00%,5.56%,0.00%,5.74%
23,22-<23 mo,9,0,3,+,+,99.75%,95.68%,+,+,+,+,+,+
