Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,215,20,8,90.52%,90.52%,99.80%,99.80%,90.71%,90.71%,2.02%,2.02%,2.02%,2.02%
2,1-<2 mo,187,11,9,93.97%,85.07%,99.82%,99.62%,94.14%,85.39%,1.76%,2.48%,1.76%,2.49%
3,2-<3 mo,167,7,6,95.73%,81.43%,99.82%,99.44%,95.90%,81.89%,1.58%,2.72%,1.58%,2.74%
4,3-<4 mo,154,4,13,97.29%,79.23%,99.83%,99.27%,97.45%,79.81%,1.34%,2.87%,1.34%,2.89%
5,4-<5 mo,137,0,14,100.00%,79.23%,99.85%,99.12%,100.0000%*,79.8063%#,0.00%,2.87%,0.00%,2.8869%#
6,5-<6 mo,123,4,4,96.69%,76.61%,99.85%,98.97%,96.84%,77.40%,1.63%,3.06%,1.63%,3.09%
7,6-<7 mo,115,4,8,96.40%,73.85%,99.84%,98.82%,96.55%,74.73%,1.77%,3.24%,1.77%,3.28%
8,7-<8 mo,103,4,8,95.96%,70.86%,99.84%,98.66%,96.11%,71.82%,1.98%,3.44%,1.98%,3.48%
9,8-<9 mo,91,1,4,98.88%,70.07%,99.84%,98.51%,99.03%,71.13%,1.12%,3.49%,1.12%,3.54%
10,9-<10 mo,86,1,9,98.77%,69.21%,99.84%,98.35%,98.93%,70.37%,1.22%,3.55%,1.22%,3.61%
11,10-<11 mo,76,1,5,98.64%,68.27%,99.86%,98.22%,98.77%,69.51%,1.35%,3.63%,1.35%,3.69%
12,11-<12 mo,70,2,7,96.99%,66.21%,99.86%,98.08%,97.12%,67.51%,2.09%,3.80%,2.10%,3.87%
13,12-<13 mo,61,1,6,98.28%,65.07%,99.84%,97.93%,98.43%,66.45%,1.71%,3.90%,1.71%,3.98%
14,13-<14 mo,54,0,7,100.00%,65.07%,99.84%,97.77%,100.0000%*,66.4472%#,0.00%,3.90%,0.00%,3.9811%#
15,14-<15 mo,47,2,5,95.51%,62.15%,99.85%,97.62%,95.65%,63.66%,3.11%,4.24%,3.11%,4.34%
16,15-<16 mo,40,1,5,97.33%,60.49%,99.84%,97.47%,97.49%,62.06%,2.63%,4.44%,2.64%,4.55%
17,16-<17 mo,34,1,4,96.88%,58.60%,99.82%,97.30%,97.05%,60.22%,3.08%,4.68%,3.08%,4.81%
18,17-<18 mo,29,0,2,100.00%,58.60%,99.83%,97.14%,100.0000%*,60.2241%#,0.00%,4.68%,0.00%,4.8126%#
19,18-<19 mo,27,0,4,100.00%,58.60%,99.84%,96.98%,100.0000%*,60.2241%#,0.00%,4.68%,0.00%,4.8126%#
20,19-<20 mo,23,0,1,100.00%,58.60%,99.82%,96.80%,100.0000%*,60.2241%#,0.00%,4.68%,0.00%,4.8126%#
21,20-<21 mo,22,0,5,100.00%,58.60%,99.82%,96.63%,100.0000%*,60.2241%#,0.00%,4.68%,0.00%,4.8126%#
22,21-<22 mo,17,0,4,100.00%,58.60%,99.82%,96.45%,100.0000%*,60.2241%#,0.00%,4.68%,0.00%,4.8126%#
23,22-<23 mo,13,0,6,100.00%,58.60%,99.78%,96.24%,100.0000%*,60.2241%#,0.00%,4.68%,0.00%,4.8126%#
24,23-<24 mo,7,0,7,+,+,99.71%,95.96%,+,+,+,+,+,+
