Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,257,48,8,81.03%,81.03%,99.60%,99.60%,81.35%,81.35%,2.47%,2.47%,2.47%,2.47%
2,1-<2 mo,201,13,11,93.35%,75.64%,99.69%,99.29%,93.64%,76.18%,1.78%,2.72%,1.79%,2.74%
3,2-<3 mo,177,6,12,96.49%,72.99%,99.70%,98.98%,96.79%,73.74%,1.41%,2.83%,1.41%,2.86%
4,3-<4 mo,159,5,2,96.84%,70.68%,99.70%,98.68%,97.13%,71.62%,1.39%,2.92%,1.40%,2.96%
5,4-<5 mo,152,6,5,95.99%,67.84%,99.72%,98.40%,96.26%,68.94%,1.61%,3.03%,1.61%,3.07%
6,5-<6 mo,141,8,14,94.03%,63.79%,99.73%,98.14%,94.28%,65.00%,2.05%,3.17%,2.05%,3.23%
7,6-<7 mo,119,1,7,99.13%,63.24%,99.78%,97.92%,99.36%,64.58%,0.86%,3.19%,0.86%,3.25%
8,7-<8 mo,111,1,6,99.07%,62.65%,99.77%,97.70%,99.30%,64.13%,0.92%,3.21%,0.92%,3.29%
9,8-<9 mo,104,1,9,99.00%,62.02%,99.77%,97.47%,99.22%,63.63%,1.00%,3.24%,1.00%,3.32%
10,9-<10 mo,94,2,2,97.85%,60.69%,99.76%,97.24%,98.08%,62.41%,1.50%,3.30%,1.51%,3.40%
11,10-<11 mo,90,2,11,97.63%,59.25%,99.76%,97.01%,97.87%,61.08%,1.65%,3.38%,1.66%,3.48%
12,11-<12 mo,77,1,6,98.65%,58.45%,99.77%,96.78%,98.88%,60.40%,1.34%,3.43%,1.35%,3.54%
13,12-<13 mo,70,0,5,100.00%,58.45%,99.76%,96.54%,100.0000%*,60.3957%#,0.00%,3.43%,0.00%,3.5399%#
14,13-<14 mo,65,3,5,95.20%,55.65%,99.76%,96.32%,95.43%,57.77%,2.70%,3.62%,2.71%,3.76%
15,14-<15 mo,57,1,6,98.15%,54.61%,99.80%,96.12%,98.35%,56.82%,1.83%,3.70%,1.84%,3.85%
16,15-<16 mo,50,0,4,100.00%,54.61%,99.82%,95.95%,100.0000%*,56.8184%#,0.00%,3.70%,0.00%,3.8500%#
17,16-<17 mo,46,0,6,100.00%,54.61%,99.82%,95.78%,100.0000%*,56.8184%#,0.00%,3.70%,0.00%,3.8500%#
18,17-<18 mo,40,0,10,100.00%,54.61%,99.81%,95.60%,100.0000%*,56.8184%#,0.00%,3.70%,0.00%,3.8500%#
19,18-<19 mo,30,0,6,100.00%,54.61%,99.84%,95.44%,100.0000%*,56.8184%#,0.00%,3.70%,0.00%,3.8500%#
20,19-<20 mo,24,0,5,100.00%,54.61%,99.85%,95.30%,100.0000%*,56.8184%#,0.00%,3.70%,0.00%,3.8500%#
21,20-<21 mo,19,0,5,100.00%,54.61%,99.86%,95.17%,100.0000%*,56.8184%#,0.00%,3.70%,0.00%,3.8500%#
22,21-<22 mo,14,1,4,91.67%,50.06%,99.86%,95.04%,91.80%,52.68%,7.98%,5.52%,7.99%,5.81%
23,22-<23 mo,9,0,1,100.00%,50.06%,99.83%,94.87%,100.0000%*,52.6769%#,0.00%,5.52%,0.00%,5.8105%#
24,23-<24 mo,8,0,8,+,+,99.82%,94.70%,+,+,+,+,+,+
