Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,26,5,3,78.22%,78.22%,99.50%,99.50%,78.65%,78.65%,9.10%,9.10%,9.13%,9.13%
2,1-<2 mo,18,0,1,100.00%,78.22%,99.58%,99.08%,100.00%,78.65%,0.00%,9.10%,0.00%,9.13%
3,2-<3 mo,17,1,2,86.20%,68.37%,99.59%,98.67%,86.22%,68.81%,9.76%,9.90%,9.77%,9.95%
4,3-<4 mo,14,2,0,87.98%,58.88%,99.60%,98.29%,88.30%,60.15%,7.71%,11.06%,7.74%,11.18%
5,4-<5 mo,12,1,1,94.16%,54.49%,99.61%,97.91%,94.48%,55.84%,5.43%,11.47%,5.48%,11.65%
6,5-<6 mo,10,1,0,92.71%,49.74%,99.51%,97.43%,93.09%,51.13%,6.66%,11.76%,6.73%,12.01%
7,6-<7 mo,9,1,0,90.45%,44.37%,99.45%,96.91%,90.46%,45.76%,7.80%,11.81%,7.80%,12.06%
8,7-<8 mo,8,0,0,100.00%,44.37%,99.45%,96.40%,100.00%,45.76%,0.00%,11.81%,0.00%,12.06%
9,8-<9 mo,8,0,0,100.00%,44.37%,99.45%,95.89%,100.00%,45.76%,0.00%,11.81%,0.00%,12.06%
10,9-<10 mo,8,1,1,91.25%,39.61%,99.45%,95.39%,91.66%,41.71%,7.83%,11.87%,7.92%,12.34%
11,10-<11 mo,6,1,0,89.06%,34.86%,99.38%,94.83%,89.50%,36.65%,9.48%,11.71%,9.60%,12.20%
12,11-<12 mo,5,2,0,70.82%,25.35%,99.31%,94.21%,71.04%,26.06%,11.91%,10.64%,12.09%,10.94%
13,12-<13 mo,3,0,0,100.00%,25.35%,98.93%,93.27%,100.00%,26.06%,0.00%,10.64%,0.00%,10.94%
14,13-<14 mo,3,0,0,100.00%,25.35%,98.93%,92.35%,100.00%,26.06%,0.00%,10.64%,0.00%,10.94%
15,14-<15 mo,3,0,0,100.00%,25.35%,98.93%,91.45%,100.00%,26.06%,0.00%,10.64%,0.00%,10.94%
16,15-<16 mo,3,0,0,100.00%,25.35%,98.93%,90.57%,100.00%,26.06%,0.00%,10.64%,0.00%,10.94%
17,16-<17 mo,3,0,0,100.00%,25.35%,98.93%,89.71%,100.00%,26.06%,0.00%,10.64%,0.00%,10.94%
18,17-<18 mo,3,0,0,100.00%,25.35%,98.93%,88.87%,100.00%,26.06%,0.00%,10.64%,0.00%,10.94%
19,18-<19 mo,3,0,2,+,+,98.93%,88.05%,+,+,+,+,+,+
