Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,961,7,60,99.25%,99.25%,99.66%,99.66%,99.58%,99.58%,0.28%,0.28%,0.28%,0.28%
2,1-<2 mo,894,4,61,99.54%,98.79%,99.66%,99.32%,99.88%,99.47%,0.23%,0.36%,0.23%,0.37%
3,2-<3 mo,829,6,42,99.26%,98.05%,99.65%,98.97%,99.60%,99.07%,0.30%,0.47%,0.30%,0.47%
4,3-<4 mo,781,4,38,99.48%,97.54%,99.66%,98.64%,99.81%,98.88%,0.26%,0.53%,0.26%,0.54%
5,4-<5 mo,739,9,39,98.75%,96.32%,99.67%,98.31%,99.08%,97.97%,0.41%,0.66%,0.42%,0.67%
6,5-<6 mo,691,2,43,99.70%,96.03%,99.67%,97.99%,100.0000%*,97.9732%#,0.21%,0.69%,0.21%,0.6739%#
7,6-<7 mo,646,4,34,99.36%,95.42%,99.67%,97.66%,99.69%,97.71%,0.32%,0.75%,0.32%,0.77%
8,7-<8 mo,608,1,38,99.83%,95.26%,99.67%,97.34%,100.0000%*,97.7058%#,0.17%,0.77%,0.17%,0.7691%#
9,8-<9 mo,569,2,42,99.64%,94.91%,99.67%,97.02%,99.96%,97.7058%#,0.26%,0.80%,0.26%,0.7691%#
10,9-<10 mo,525,5,37,99.01%,93.97%,99.68%,96.72%,99.33%,97.17%,0.44%,0.90%,0.44%,0.93%
11,10-<11 mo,483,2,42,99.57%,93.57%,99.68%,96.41%,99.89%,97.06%,0.31%,0.94%,0.31%,0.97%
12,11-<12 mo,439,7,22,98.36%,92.04%,99.67%,96.09%,98.69%,95.78%,0.61%,1.09%,0.62%,1.13%
13,12-<13 mo,410,3,36,99.23%,91.33%,99.64%,95.75%,99.59%,95.39%,0.44%,1.15%,0.44%,1.20%
14,13-<14 mo,371,3,39,99.15%,90.55%,99.66%,95.43%,99.48%,94.89%,0.49%,1.23%,0.49%,1.29%
15,14-<15 mo,329,2,34,99.36%,89.97%,99.65%,95.09%,99.71%,94.62%,0.45%,1.29%,0.45%,1.35%
16,15-<16 mo,293,1,28,99.64%,89.65%,99.66%,94.77%,99.98%,94.60%,0.36%,1.32%,0.36%,1.39%
17,16-<17 mo,264,2,46,99.17%,88.91%,99.66%,94.45%,99.50%,94.13%,0.58%,1.41%,0.59%,1.49%
18,17-<18 mo,216,0,29,100.00%,88.91%,99.68%,94.15%,100.0000%*,94.1281%#,0.00%,1.41%,0.00%,1.4941%#
19,18-<19 mo,187,1,29,99.42%,88.39%,99.70%,93.87%,99.72%,94.1281%#,0.58%,1.49%,0.58%,1.4941%#
20,19-<20 mo,157,0,30,100.00%,88.39%,99.70%,93.59%,100.0000%*,94.1281%#,0.00%,1.49%,0.00%,1.4941%#
21,20-<21 mo,127,0,38,100.00%,88.39%,99.70%,93.31%,100.0000%*,94.1281%#,0.00%,1.49%,0.00%,1.4941%#
22,21-<22 mo,89,0,32,100.00%,88.39%,99.66%,92.99%,100.0000%*,94.1281%#,0.00%,1.49%,0.00%,1.4941%#
23,22-<23 mo,57,0,31,100.00%,88.39%,99.69%,92.70%,100.0000%*,94.1281%#,0.00%,1.49%,0.00%,1.4941%#
24,23-<24 mo,26,0,26,+,+,99.59%,92.32%,+,+,+,+,+,+
