Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,46,9,1,80.22%,80.22%,99.68%,99.68%,80.48%,80.48%,5.91%,5.91%,5.92%,5.92%
2,1-<2 mo,36,0,1,100.00%,80.22%,99.71%,99.38%,100.0000%*,80.4810%#,0.00%,5.91%,0.00%,5.9247%#
3,2-<3 mo,35,2,2,94.12%,75.50%,99.70%,99.09%,94.40%,76.19%,4.04%,6.43%,4.05%,6.49%
4,3-<4 mo,31,1,0,96.77%,73.07%,99.68%,98.77%,97.08%,73.97%,3.17%,6.67%,3.18%,6.75%
5,4-<5 mo,30,5,0,83.33%,60.89%,99.67%,98.45%,83.61%,61.85%,6.80%,7.46%,6.83%,7.57%
6,5-<6 mo,25,1,2,95.83%,58.35%,99.72%,98.18%,96.10%,59.43%,4.08%,7.57%,4.09%,7.71%
7,6-<7 mo,22,2,0,90.91%,53.05%,99.78%,97.96%,91.11%,54.15%,6.13%,7.75%,6.14%,7.91%
8,7-<8 mo,20,0,1,100.00%,53.05%,99.78%,97.74%,100.0000%*,54.1502%#,0.00%,7.75%,0.00%,7.9134%#
9,8-<9 mo,19,1,0,94.74%,50.25%,99.77%,97.52%,94.96%,51.53%,5.12%,7.83%,5.13%,8.03%
10,9-<10 mo,18,1,1,94.29%,47.38%,99.76%,97.29%,94.51%,48.70%,5.55%,7.89%,5.56%,8.11%
11,10-<11 mo,16,0,0,100.00%,47.38%,99.74%,97.03%,100.0000%*,48.7041%#,0.00%,7.89%,0.00%,8.1124%#
12,11-<12 mo,16,1,1,93.55%,44.33%,99.74%,96.78%,93.79%,45.80%,6.24%,7.95%,6.26%,8.22%
13,12-<13 mo,14,1,1,92.59%,41.04%,99.71%,96.50%,92.87%,42.53%,7.13%,8.01%,7.15%,8.30%
14,13-<14 mo,12,0,0,100.00%,41.04%,99.71%,96.21%,100.0000%*,42.5331%#,0.00%,8.01%,0.00%,8.3042%#
15,14-<15 mo,12,0,1,100.00%,41.04%,99.71%,95.93%,100.0000%*,42.5331%#,0.00%,8.01%,0.00%,8.3042%#
16,15-<16 mo,11,0,0,100.00%,41.04%,99.69%,95.63%,100.0000%*,42.5331%#,0.00%,8.01%,0.00%,8.3042%#
17,16-<17 mo,11,2,0,81.82%,33.58%,99.69%,95.33%,82.07%,35.22%,11.63%,8.11%,11.67%,8.51%
18,17-<18 mo,9,0,2,100.00%,33.58%,99.68%,95.03%,100.0000%*,35.2237%#,0.00%,8.11%,0.00%,8.5064%#
19,18-<19 mo,7,0,1,100.00%,33.58%,99.60%,94.65%,100.0000%*,35.2237%#,0.00%,8.11%,0.00%,8.5064%#
20,19-<20 mo,6,0,2,100.00%,33.58%,99.58%,94.25%,100.0000%*,35.2237%#,0.00%,8.11%,0.00%,8.5064%#
21,20-<21 mo,4,0,0,100.00%,33.58%,99.78%,94.04%,100.0000%*,35.2237%#,0.00%,8.11%,0.00%,8.5064%#
22,21-<22 mo,4,0,1,100.00%,33.58%,99.78%,93.84%,100.0000%*,35.2237%#,0.00%,8.11%,0.00%,8.5064%#
23,22-<23 mo,3,0,0,100.00%,33.58%,99.88%,93.72%,100.0000%*,35.2237%#,0.00%,8.11%,0.00%,8.5064%#
24,23-<24 mo,3,0,3,+,+,99.88%,93.61%,+,+,+,+,+,+
