Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,259",673,139,78.90%,78.90%,99.68%,99.68%,79.15%,79.15%,0.72%,0.72%,0.72%,0.72%
2,1-<2 mo,"2,447",442,94,81.58%,64.37%,99.72%,99.40%,81.81%,64.76%,0.79%,0.86%,0.79%,0.86%
3,2-<3 mo,"1,911",299,78,84.03%,54.09%,99.75%,99.15%,84.24%,54.55%,0.85%,0.90%,0.85%,0.91%
4,3-<4 mo,"1,534",182,55,87.92%,47.55%,99.77%,98.92%,88.12%,48.07%,0.84%,0.92%,0.84%,0.93%
5,4-<5 mo,"1,297",110,52,91.35%,43.44%,99.79%,98.71%,91.54%,44.00%,0.79%,0.92%,0.79%,0.93%
6,5-<6 mo,"1,135",98,60,91.13%,39.59%,99.79%,98.51%,91.32%,40.18%,0.86%,0.91%,0.86%,0.93%
7,6-<7 mo,977,74,44,92.25%,36.52%,99.80%,98.31%,92.44%,37.15%,0.87%,0.91%,0.87%,0.93%
8,7-<8 mo,859,62,47,92.58%,33.81%,99.81%,98.13%,92.75%,34.45%,0.91%,0.91%,0.91%,0.92%
9,8-<9 mo,750,50,47,93.12%,31.48%,99.81%,97.94%,93.29%,32.14%,0.94%,0.90%,0.94%,0.92%
10,9-<10 mo,653,50,50,92.04%,28.97%,99.81%,97.76%,92.21%,29.64%,1.08%,0.90%,1.08%,0.92%
11,10-<11 mo,553,23,50,95.64%,27.71%,99.81%,97.58%,95.82%,28.40%,0.89%,0.90%,0.89%,0.92%
12,11-<12 mo,480,28,39,93.92%,26.03%,99.82%,97.41%,94.08%,26.72%,1.11%,0.90%,1.12%,0.92%
13,12-<13 mo,413,25,34,93.69%,24.38%,99.82%,97.23%,93.86%,25.08%,1.22%,0.90%,1.22%,0.92%
14,13-<14 mo,354,22,30,93.51%,22.80%,99.83%,97.06%,93.67%,23.49%,1.34%,0.90%,1.34%,0.93%
15,14-<15 mo,302,16,25,94.47%,21.54%,99.83%,96.89%,94.64%,22.23%,1.34%,0.90%,1.35%,0.93%
16,15-<16 mo,261,8,31,96.74%,20.84%,99.82%,96.72%,96.91%,21.55%,1.13%,0.91%,1.14%,0.94%
17,16-<17 mo,222,6,33,97.08%,20.23%,99.83%,96.56%,97.24%,20.95%,1.17%,0.91%,1.18%,0.95%
18,17-<18 mo,183,9,31,94.63%,19.14%,99.84%,96.41%,94.78%,19.86%,1.74%,0.93%,1.75%,0.97%
19,18-<19 mo,143,4,32,96.85%,18.54%,99.84%,96.25%,97.00%,19.26%,1.55%,0.95%,1.55%,0.99%
20,19-<20 mo,107,5,25,94.71%,17.56%,99.83%,96.09%,94.87%,18.27%,2.30%,1.00%,2.31%,1.04%
21,20-<21 mo,77,3,22,95.45%,16.76%,99.83%,95.92%,95.62%,17.47%,2.56%,1.05%,2.57%,1.10%
22,21-<22 mo,52,1,21,97.59%,16.36%,99.84%,95.77%,97.75%,17.08%,2.38%,1.10%,2.38%,1.15%
23,22-<23 mo,30,0,20,100.00%,16.36%,99.87%,95.64%,100.0000%*,17.0816%#,0.00%,1.10%,0.00%,1.1518%#
24,23-<24 mo,10,0,10,+,+,99.85%,95.50%,+,+,+,+,+,+
