Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"30,791",184,"1,414",99.36%,99.36%,99.77%,99.77%,99.59%,99.59%,0.05%,0.05%,0.05%,0.05%
2,1-<2 mo,"29,193",96,"1,358",99.66%,99.03%,99.77%,99.54%,99.87%,99.46%,0.04%,0.06%,0.04%,0.06%
3,2-<3 mo,"27,739",114,"1,499",99.58%,98.61%,99.77%,99.32%,99.79%,99.26%,0.04%,0.07%,0.04%,0.07%
4,3-<4 mo,"26,126",80,"1,367",99.68%,98.29%,99.78%,99.09%,99.90%,99.16%,0.04%,0.08%,0.04%,0.08%
5,4-<5 mo,"24,679",70,"1,426",99.71%,98.01%,99.78%,98.87%,99.93%,99.09%,0.04%,0.09%,0.04%,0.09%
6,5-<6 mo,"23,183",56,"1,366",99.73%,97.76%,99.78%,98.65%,99.93%,99.03%,0.04%,0.09%,0.04%,0.09%
7,6-<7 mo,"21,761",63,"1,244",99.70%,97.46%,99.78%,98.43%,99.92%,98.96%,0.04%,0.10%,0.04%,0.10%
8,7-<8 mo,"20,454",58,"1,338",99.70%,97.18%,99.78%,98.22%,99.92%,98.89%,0.04%,0.11%,0.04%,0.10%
9,8-<9 mo,"19,058",55,"1,328",99.70%,96.89%,99.78%,98.00%,99.91%,98.80%,0.04%,0.11%,0.04%,0.11%
10,9-<10 mo,"17,675",47,"1,218",99.72%,96.62%,99.78%,97.79%,99.94%,98.74%,0.04%,0.12%,0.04%,0.12%
11,10-<11 mo,"16,410",47,"1,279",99.67%,96.31%,99.78%,97.58%,99.87%,98.64%,0.05%,0.13%,0.05%,0.13%
12,11-<12 mo,"15,084",41,"1,162",99.69%,96.02%,99.78%,97.37%,99.90%,98.56%,0.05%,0.13%,0.05%,0.13%
13,12-<13 mo,"13,881",30,"1,030",99.77%,95.80%,99.76%,97.14%,100.00%,98.56%,0.04%,0.14%,0.04%,0.14%
14,13-<14 mo,"12,821",30,"1,264",99.75%,95.56%,99.76%,96.91%,99.99%,98.56%,0.05%,0.15%,0.05%,0.14%
15,14-<15 mo,"11,527",33,"1,250",99.67%,95.26%,99.76%,96.68%,99.91%,98.47%,0.06%,0.16%,0.06%,0.16%
16,15-<16 mo,"10,244",27,"1,038",99.71%,94.99%,99.76%,96.46%,99.94%,98.41%,0.06%,0.16%,0.06%,0.17%
17,16-<17 mo,"9,179",28,"1,208",99.68%,94.69%,99.76%,96.23%,99.91%,98.35%,0.06%,0.17%,0.06%,0.18%
18,17-<18 mo,"7,943",18,"1,134",99.75%,94.46%,99.76%,96.01%,99.98%,98.34%,0.06%,0.18%,0.06%,0.19%
19,18-<19 mo,"6,791",14,"1,104",99.77%,94.24%,99.76%,95.79%,100.00%,98.34%,0.06%,0.19%,0.06%,0.19%
20,19-<20 mo,"5,673",15,"1,142",99.69%,93.97%,99.77%,95.57%,99.90%,98.25%,0.08%,0.20%,0.08%,0.22%
21,20-<21 mo,"4,516",10,"1,142",99.78%,93.76%,99.77%,95.35%,99.96%,98.21%,0.07%,0.21%,0.07%,0.22%
22,21-<22 mo,"3,364",3,"1,097",99.88%,93.65%,99.77%,95.13%,100.00%,98.21%,0.07%,0.22%,0.07%,0.22%
23,22-<23 mo,"2,264",6,"1,207",99.65%,93.33%,99.77%,94.91%,99.86%,98.19%,0.15%,0.26%,0.15%,0.27%
24,23-<24 mo,"1,051",0,"1,051",+,+,99.76%,94.69%,+,+,+,+,+,+
