Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,982",66,143,97.73%,97.73%,99.83%,99.83%,97.90%,97.90%,0.28%,0.28%,0.28%,0.28%
2,1-<2 mo,"2,773",63,156,97.66%,95.45%,99.84%,99.67%,97.82%,95.77%,0.29%,0.39%,0.29%,0.39%
3,2-<3 mo,"2,554",44,143,98.23%,93.76%,99.84%,99.51%,98.38%,94.22%,0.26%,0.46%,0.27%,0.46%
4,3-<4 mo,"2,367",38,131,98.35%,92.21%,99.85%,99.36%,98.50%,92.80%,0.27%,0.52%,0.27%,0.52%
5,4-<5 mo,"2,198",29,122,98.64%,90.96%,99.85%,99.21%,98.79%,91.68%,0.25%,0.56%,0.25%,0.56%
6,5-<6 mo,"2,047",10,123,99.50%,90.50%,99.85%,99.07%,99.64%,91.35%,0.16%,0.58%,0.16%,0.58%
7,6-<7 mo,"1,914",15,109,99.19%,89.77%,99.85%,98.92%,99.34%,90.75%,0.21%,0.60%,0.21%,0.61%
8,7-<8 mo,"1,790",12,126,99.31%,89.14%,99.85%,98.78%,99.45%,90.25%,0.20%,0.62%,0.20%,0.63%
9,8-<9 mo,"1,652",13,116,99.18%,88.42%,99.86%,98.64%,99.33%,89.64%,0.23%,0.65%,0.23%,0.66%
10,9-<10 mo,"1,523",17,104,98.84%,87.40%,99.86%,98.50%,98.99%,88.73%,0.28%,0.69%,0.28%,0.70%
11,10-<11 mo,"1,402",8,124,99.40%,86.87%,99.86%,98.36%,99.54%,88.32%,0.21%,0.71%,0.21%,0.72%
12,11-<12 mo,"1,270",8,99,99.34%,86.30%,99.86%,98.22%,99.48%,87.87%,0.23%,0.73%,0.23%,0.74%
13,12-<13 mo,"1,163",9,95,99.19%,85.61%,99.85%,98.08%,99.34%,87.29%,0.27%,0.76%,0.27%,0.78%
14,13-<14 mo,"1,059",8,99,99.21%,84.93%,99.85%,97.93%,99.36%,86.73%,0.28%,0.79%,0.28%,0.81%
15,14-<15 mo,952,5,105,99.44%,84.46%,99.85%,97.78%,99.60%,86.37%,0.25%,0.82%,0.25%,0.83%
16,15-<16 mo,842,9,83,98.88%,83.51%,99.85%,97.63%,99.03%,85.54%,0.37%,0.87%,0.37%,0.89%
17,16-<17 mo,750,7,116,98.99%,82.66%,99.85%,97.49%,99.13%,84.79%,0.38%,0.91%,0.38%,0.94%
18,17-<18 mo,627,8,84,98.63%,81.53%,99.85%,97.35%,98.78%,83.76%,0.48%,0.98%,0.48%,1.01%
19,18-<19 mo,535,6,80,98.79%,80.54%,99.85%,97.20%,98.93%,82.86%,0.49%,1.05%,0.49%,1.08%
20,19-<20 mo,449,2,88,99.51%,80.15%,99.85%,97.06%,99.65%,82.57%,0.35%,1.08%,0.35%,1.12%
21,20-<21 mo,359,4,97,98.71%,79.11%,99.86%,96.92%,98.85%,81.63%,0.64%,1.19%,0.64%,1.22%
22,21-<22 mo,258,2,84,99.07%,78.38%,99.86%,96.79%,99.21%,80.98%,0.65%,1.28%,0.65%,1.33%
23,22-<23 mo,172,2,93,98.41%,77.13%,99.86%,96.65%,98.54%,79.80%,1.12%,1.54%,1.12%,1.59%
24,23-<24 mo,77,0,77,+,+,99.86%,96.52%,+,+,+,+,+,+
