Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,530",100,161,95.92%,95.92%,99.82%,99.82%,96.09%,96.09%,0.40%,0.40%,0.40%,0.40%
2,1-<2 mo,"2,269",50,130,97.73%,93.74%,99.83%,99.66%,97.89%,94.07%,0.32%,0.50%,0.32%,0.50%
3,2-<3 mo,"2,089",33,103,98.38%,92.22%,99.84%,99.50%,98.54%,92.69%,0.28%,0.55%,0.28%,0.56%
4,3-<4 mo,"1,953",34,109,98.21%,90.57%,99.85%,99.35%,98.36%,91.17%,0.30%,0.61%,0.30%,0.62%
5,4-<5 mo,"1,810",26,110,98.52%,89.23%,99.85%,99.20%,98.66%,89.95%,0.29%,0.66%,0.29%,0.66%
6,5-<6 mo,"1,674",15,104,99.08%,88.40%,99.85%,99.05%,99.22%,89.25%,0.24%,0.68%,0.24%,0.69%
7,6-<7 mo,"1,555",11,88,99.27%,87.76%,99.85%,98.91%,99.42%,88.73%,0.22%,0.71%,0.22%,0.71%
8,7-<8 mo,"1,456",15,92,98.94%,86.83%,99.86%,98.77%,99.08%,87.91%,0.27%,0.74%,0.27%,0.75%
9,8-<9 mo,"1,349",15,101,98.84%,85.82%,99.86%,98.63%,98.99%,87.02%,0.30%,0.77%,0.30%,0.79%
10,9-<10 mo,"1,233",11,85,99.08%,85.03%,99.86%,98.49%,99.22%,86.34%,0.28%,0.80%,0.28%,0.82%
11,10-<11 mo,"1,137",10,72,99.09%,84.26%,99.86%,98.35%,99.23%,85.68%,0.29%,0.83%,0.29%,0.85%
12,11-<12 mo,"1,055",4,86,99.60%,83.93%,99.86%,98.21%,99.74%,85.46%,0.20%,0.85%,0.20%,0.86%
13,12-<13 mo,965,5,78,99.46%,83.47%,99.84%,98.06%,99.62%,85.13%,0.24%,0.86%,0.24%,0.88%
14,13-<14 mo,882,11,68,98.70%,82.39%,99.85%,97.91%,98.85%,84.15%,0.39%,0.91%,0.39%,0.93%
15,14-<15 mo,803,5,77,99.35%,81.85%,99.85%,97.76%,99.49%,83.72%,0.29%,0.94%,0.29%,0.96%
16,15-<16 mo,721,10,71,98.54%,80.66%,99.86%,97.62%,98.68%,82.62%,0.46%,1.00%,0.46%,1.02%
17,16-<17 mo,640,5,74,99.17%,79.99%,99.86%,97.49%,99.31%,82.05%,0.37%,1.03%,0.37%,1.06%
18,17-<18 mo,561,6,87,98.84%,79.06%,99.86%,97.35%,98.98%,81.21%,0.47%,1.09%,0.47%,1.12%
19,18-<19 mo,468,2,83,99.53%,78.69%,99.86%,97.22%,99.67%,80.94%,0.33%,1.11%,0.33%,1.15%
20,19-<20 mo,383,2,94,99.40%,78.22%,99.86%,97.09%,99.54%,80.57%,0.42%,1.16%,0.42%,1.19%
21,20-<21 mo,287,1,80,99.60%,77.91%,99.88%,96.97%,99.72%,80.34%,0.40%,1.19%,0.40%,1.23%
22,21-<22 mo,206,1,75,99.41%,77.44%,99.88%,96.84%,99.53%,79.97%,0.59%,1.27%,0.59%,1.31%
23,22-<23 mo,130,0,66,100.00%,77.44%,99.87%,96.72%,100.0000%*,79.9663%#,0.00%,1.27%,0.00%,1.3148%#
24,23-<24 mo,64,0,64,+,+,99.85%,96.58%,+,+,+,+,+,+
