Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,862,27,34,96.80%,96.80%,99.80%,99.80%,97.00%,97.00%,0.61%,0.61%,0.61%,0.61%
2,1-<2 mo,801,26,29,96.69%,93.60%,99.81%,99.61%,96.88%,93.97%,0.64%,0.85%,0.64%,0.85%
3,2-<3 mo,746,26,34,96.43%,90.27%,99.81%,99.42%,96.62%,90.79%,0.69%,1.04%,0.69%,1.05%
4,3-<4 mo,686,13,29,98.06%,88.52%,99.82%,99.24%,98.24%,89.20%,0.53%,1.13%,0.53%,1.14%
5,4-<5 mo,644,8,41,98.72%,87.38%,99.82%,99.06%,98.90%,88.21%,0.45%,1.18%,0.45%,1.20%
6,5-<6 mo,595,10,33,98.27%,85.87%,99.81%,98.87%,98.46%,86.85%,0.54%,1.26%,0.54%,1.27%
7,6-<7 mo,552,6,34,98.88%,84.91%,99.81%,98.69%,99.06%,86.04%,0.46%,1.30%,0.46%,1.32%
8,7-<8 mo,512,10,40,97.97%,83.18%,99.82%,98.51%,98.15%,84.45%,0.64%,1.39%,0.64%,1.41%
9,8-<9 mo,462,5,23,98.89%,82.26%,99.82%,98.33%,99.06%,83.66%,0.49%,1.43%,0.49%,1.45%
10,9-<10 mo,434,5,33,98.80%,81.28%,99.83%,98.16%,98.97%,82.80%,0.53%,1.48%,0.53%,1.51%
11,10-<11 mo,396,4,26,98.96%,80.43%,99.83%,98.00%,99.12%,82.07%,0.52%,1.52%,0.52%,1.55%
12,11-<12 mo,366,8,36,97.70%,78.58%,99.84%,97.84%,97.86%,80.31%,0.80%,1.62%,0.80%,1.66%
13,12-<13 mo,322,2,18,99.36%,78.08%,99.81%,97.66%,99.55%,79.95%,0.45%,1.65%,0.45%,1.69%
14,13-<14 mo,302,2,29,99.30%,77.53%,99.81%,97.48%,99.49%,79.54%,0.49%,1.68%,0.49%,1.73%
15,14-<15 mo,271,2,25,99.23%,76.93%,99.82%,97.30%,99.41%,79.07%,0.55%,1.72%,0.55%,1.77%
16,15-<16 mo,244,1,21,99.57%,76.60%,99.82%,97.12%,99.75%,78.87%,0.43%,1.75%,0.43%,1.80%
17,16-<17 mo,222,1,31,99.52%,76.23%,99.82%,96.95%,99.69%,78.63%,0.48%,1.78%,0.48%,1.83%
18,17-<18 mo,190,1,21,99.44%,75.81%,99.82%,96.78%,99.62%,78.33%,0.56%,1.82%,0.56%,1.88%
19,18-<19 mo,168,4,35,97.34%,73.79%,99.82%,96.60%,97.52%,76.39%,1.31%,2.03%,1.31%,2.10%
20,19-<20 mo,129,1,17,99.17%,73.18%,99.82%,96.42%,99.35%,75.90%,0.83%,2.10%,0.83%,2.18%
21,20-<21 mo,111,1,29,98.96%,72.42%,99.84%,96.26%,99.13%,75.23%,1.03%,2.21%,1.03%,2.30%
22,21-<22 mo,81,3,25,95.62%,69.25%,99.84%,96.11%,95.77%,72.05%,2.47%,2.77%,2.48%,2.88%
23,22-<23 mo,53,1,26,97.50%,67.52%,99.84%,95.96%,97.65%,70.36%,2.47%,3.20%,2.47%,3.33%
24,23-<24 mo,26,0,26,+,+,99.86%,95.82%,+,+,+,+,+,+
