Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,98,4,4,96.74%,96.74%,99.73%,99.73%,96.99%,96.99%,1.62%,1.62%,1.63%,1.63%
2,1-<2 mo,90,2,2,98.44%,95.26%,99.73%,99.46%,98.66%,95.71%,1.09%,1.90%,1.09%,1.91%
3,2-<3 mo,86,4,6,96.60%,92.14%,99.73%,99.19%,96.81%,92.75%,1.63%,2.34%,1.64%,2.37%
4,3-<4 mo,76,3,5,94.21%,86.66%,99.74%,98.93%,94.44%,87.47%,3.81%,4.37%,3.81%,4.40%
5,4-<5 mo,68,1,4,98.91%,85.78%,99.74%,98.68%,99.12%,86.75%,1.08%,4.42%,1.09%,4.46%
6,5-<6 mo,63,1,2,98.85%,84.87%,99.74%,98.42%,99.06%,85.99%,1.14%,4.48%,1.14%,4.53%
7,6-<7 mo,60,2,2,97.60%,83.03%,99.74%,98.17%,97.81%,84.26%,1.65%,4.58%,1.66%,4.64%
8,7-<8 mo,56,1,6,98.65%,82.05%,99.74%,97.91%,98.87%,83.41%,1.33%,4.63%,1.33%,4.71%
9,8-<9 mo,49,1,2,98.49%,80.99%,99.73%,97.65%,98.72%,82.47%,1.48%,4.70%,1.49%,4.78%
10,9-<10 mo,46,0,5,100.00%,80.99%,99.72%,97.39%,100.00%,82.47%,0.00%,4.70%,0.00%,4.78%
11,10-<11 mo,41,0,7,100.00%,80.99%,99.71%,97.11%,100.00%,82.47%,0.00%,4.70%,0.00%,4.78%
12,11-<12 mo,34,0,1,100.00%,80.99%,99.72%,96.85%,100.00%,82.47%,0.00%,4.70%,0.00%,4.78%
13,12-<13 mo,33,0,1,100.00%,80.99%,99.70%,96.56%,100.00%,82.47%,0.00%,4.70%,0.00%,4.78%
14,13-<14 mo,32,1,1,96.93%,78.05%,99.70%,96.27%,96.96%,79.88%,2.89%,5.43%,2.89%,5.53%
15,14-<15 mo,30,1,1,96.32%,74.91%,99.69%,95.98%,96.35%,76.71%,3.43%,5.99%,3.43%,6.10%
16,15-<16 mo,28,1,5,97.57%,73.26%,99.69%,95.70%,97.83%,76.22%,2.36%,6.13%,2.38%,6.33%
17,16-<17 mo,22,0,4,100.00%,73.26%,99.70%,95.42%,100.00%,76.22%,0.00%,6.13%,0.00%,6.33%
18,17-<18 mo,18,0,3,100.00%,73.26%,99.69%,95.14%,100.00%,76.22%,0.00%,6.13%,0.00%,6.33%
19,18-<19 mo,15,0,2,100.00%,73.26%,99.75%,94.90%,100.00%,76.22%,0.00%,6.13%,0.00%,6.33%
20,19-<20 mo,13,1,3,95.14%,70.15%,99.73%,94.66%,95.35%,73.45%,4.58%,6.64%,4.61%,6.98%
21,20-<21 mo,9,0,2,+,+,99.70%,94.39%,+,+,+,+,+,+
