Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"11,310",297,632,97.30%,97.30%,99.73%,99.73%,97.56%,97.56%,0.15%,0.15%,0.16%,0.16%
2,1-<2 mo,"10,381",204,507,97.99%,95.34%,99.74%,99.47%,98.24%,95.85%,0.14%,0.20%,0.14%,0.20%
3,2-<3 mo,"9,670",184,541,98.04%,93.47%,99.74%,99.21%,98.30%,94.22%,0.14%,0.24%,0.14%,0.24%
4,3-<4 mo,"8,945",114,411,98.70%,92.25%,99.75%,98.96%,98.95%,93.22%,0.12%,0.26%,0.12%,0.27%
5,4-<5 mo,"8,420",117,422,98.57%,90.94%,99.75%,98.71%,98.82%,92.12%,0.13%,0.29%,0.13%,0.29%
6,5-<6 mo,"7,881",78,442,98.98%,90.01%,99.75%,98.47%,99.22%,91.41%,0.11%,0.30%,0.12%,0.31%
7,6-<7 mo,"7,361",71,408,99.01%,89.12%,99.76%,98.23%,99.25%,90.72%,0.12%,0.32%,0.12%,0.32%
8,7-<8 mo,"6,882",48,385,99.28%,88.48%,99.76%,97.99%,99.52%,90.29%,0.10%,0.33%,0.10%,0.34%
9,8-<9 mo,"6,449",58,463,99.07%,87.65%,99.76%,97.76%,99.31%,89.67%,0.12%,0.34%,0.12%,0.35%
10,9-<10 mo,"5,928",47,441,99.18%,86.93%,99.76%,97.52%,99.41%,89.14%,0.12%,0.36%,0.12%,0.36%
11,10-<11 mo,"5,440",44,396,99.16%,86.20%,99.76%,97.29%,99.40%,88.60%,0.13%,0.37%,0.13%,0.38%
12,11-<12 mo,"5,000",28,407,99.42%,85.70%,99.76%,97.06%,99.65%,88.30%,0.11%,0.38%,0.11%,0.39%
13,12-<13 mo,"4,565",36,339,99.18%,85.00%,99.74%,96.81%,99.44%,87.80%,0.14%,0.39%,0.14%,0.41%
14,13-<14 mo,"4,190",26,372,99.35%,84.45%,99.74%,96.56%,99.61%,87.45%,0.13%,0.41%,0.13%,0.42%
15,14-<15 mo,"3,792",13,346,99.64%,84.14%,99.74%,96.31%,99.90%,87.37%,0.10%,0.41%,0.10%,0.43%
16,15-<16 mo,"3,433",22,367,99.32%,83.57%,99.74%,96.06%,99.58%,87.00%,0.14%,0.43%,0.14%,0.45%
17,16-<17 mo,"3,044",18,408,99.37%,83.04%,99.75%,95.82%,99.62%,86.66%,0.15%,0.44%,0.15%,0.46%
18,17-<18 mo,"2,618",15,364,99.38%,82.53%,99.75%,95.58%,99.64%,86.35%,0.16%,0.46%,0.16%,0.48%
19,18-<19 mo,"2,239",7,352,99.66%,82.25%,99.75%,95.34%,99.91%,86.27%,0.13%,0.47%,0.13%,0.49%
20,19-<20 mo,"1,880",8,368,99.53%,81.86%,99.75%,95.10%,99.78%,86.08%,0.17%,0.49%,0.17%,0.51%
21,20-<21 mo,"1,504",7,378,99.47%,81.43%,99.75%,94.86%,99.72%,85.84%,0.20%,0.51%,0.20%,0.54%
22,21-<22 mo,"1,119",6,351,99.36%,80.91%,99.74%,94.61%,99.62%,85.52%,0.26%,0.55%,0.26%,0.58%
23,22-<23 mo,762,4,424,99.27%,80.32%,99.74%,94.37%,99.53%,85.11%,0.36%,0.62%,0.36%,0.66%
24,23-<24 mo,334,1,333,+,+,99.74%,94.13%,+,+,+,+,+,+
