Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,14,0,0,100.00%,100.00%,99.54%,99.54%,100.0000%*,100.0000%*,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,14,0,0,100.00%,100.00%,99.54%,99.07%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
3,2-<3 mo,14,0,0,100.00%,100.00%,99.54%,98.61%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
4,3-<4 mo,14,1,0,92.86%,92.86%,99.54%,98.15%,93.29%,94.60%,6.88%,6.88%,6.92%,7.01%
5,4-<5 mo,13,0,1,100.00%,92.86%,99.57%,97.73%,100.0000%*,94.6043%#,0.00%,6.88%,0.00%,7.0125%#
6,5-<6 mo,12,0,0,100.00%,92.86%,99.54%,97.28%,100.0000%*,94.6043%#,0.00%,6.88%,0.00%,7.0125%#
7,6-<7 mo,12,1,0,91.67%,85.12%,99.54%,96.82%,92.09%,87.91%,7.98%,9.73%,8.02%,10.05%
8,7-<8 mo,11,0,0,100.00%,85.12%,99.73%,96.56%,100.0000%*,87.9113%#,0.00%,9.73%,0.00%,10.0505%#
9,8-<9 mo,11,1,1,90.48%,77.01%,99.73%,96.30%,90.72%,79.97%,9.06%,11.70%,9.08%,12.15%
10,9-<10 mo,9,0,0,100.00%,77.01%,99.81%,96.12%,100.0000%*,79.9738%#,0.00%,11.70%,0.00%,12.1537%#
11,10-<11 mo,9,0,1,100.00%,77.01%,99.81%,95.93%,100.0000%*,79.9738%#,0.00%,11.70%,0.00%,12.1537%#
12,11-<12 mo,8,0,0,100.00%,77.01%,99.79%,95.73%,100.0000%*,79.9738%#,0.00%,11.70%,0.00%,12.1537%#
13,12-<13 mo,8,0,1,100.00%,77.01%,99.76%,95.51%,100.0000%*,79.9738%#,0.00%,11.70%,0.00%,12.1537%#
14,13-<14 mo,7,0,1,100.00%,77.01%,99.78%,95.30%,100.0000%*,79.9738%#,0.00%,11.70%,0.00%,12.1537%#
15,14-<15 mo,6,0,1,100.00%,77.01%,99.75%,95.07%,100.0000%*,79.9738%#,0.00%,11.70%,0.00%,12.1537%#
16,15-<16 mo,5,1,0,80.00%,61.61%,99.71%,94.79%,80.24%,65.00%,17.89%,16.66%,17.94%,17.57%
17,16-<17 mo,4,0,0,100.00%,61.61%,99.91%,94.71%,100.0000%*,64.9979%#,0.00%,16.66%,0.00%,17.5729%#
18,17-<18 mo,4,0,0,100.00%,61.61%,99.91%,94.62%,100.0000%*,64.9979%#,0.00%,16.66%,0.00%,17.5729%#
19,18-<19 mo,4,0,2,100.00%,61.61%,99.91%,94.54%,100.0000%*,64.9979%#,0.00%,16.66%,0.00%,17.5729%#
20,19-<20 mo,2,0,0,100.00%,61.61%,99.92%,94.47%,100.0000%*,64.9979%#,0.00%,16.66%,0.00%,17.5729%#
21,20-<21 mo,2,0,2,+,+,99.92%,94.40%,+,+,+,+,+,+
