Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,334,48,15,85.96%,85.96%,99.75%,99.75%,86.16%,86.16%,1.91%,1.91%,1.91%,1.91%
2,1-<2 mo,271,26,11,90.69%,78.05%,99.78%,99.54%,90.88%,78.39%,1.74%,2.29%,1.75%,2.30%
3,2-<3 mo,234,11,17,95.39%,74.65%,99.80%,99.33%,95.58%,75.11%,1.34%,2.40%,1.35%,2.42%
4,3-<4 mo,206,10,10,95.12%,71.20%,99.80%,99.13%,95.30%,71.76%,1.50%,2.52%,1.50%,2.55%
5,4-<5 mo,186,13,8,92.84%,66.57%,99.79%,98.93%,93.01%,67.18%,1.88%,2.64%,1.88%,2.67%
6,5-<6 mo,165,6,13,96.02%,64.47%,99.81%,98.75%,96.16%,65.11%,1.55%,2.67%,1.55%,2.70%
7,6-<7 mo,146,9,12,93.47%,60.22%,99.81%,98.56%,93.65%,60.94%,2.08%,2.83%,2.09%,2.87%
8,7-<8 mo,125,6,5,94.65%,57.45%,99.81%,98.38%,94.81%,58.21%,2.10%,2.89%,2.11%,2.94%
9,8-<9 mo,114,4,5,96.58%,55.32%,99.81%,98.19%,96.77%,56.15%,1.70%,2.98%,1.71%,3.04%
10,9-<10 mo,105,1,8,98.90%,54.68%,99.81%,98.01%,98.92%,55.51%,1.08%,3.01%,1.08%,3.06%
11,10-<11 mo,96,1,6,99.06%,53.97%,99.82%,97.84%,99.07%,54.82%,0.92%,3.06%,0.92%,3.12%
12,11-<12 mo,89,2,10,97.58%,52.79%,99.82%,97.66%,97.75%,53.83%,1.68%,3.10%,1.69%,3.17%
13,12-<13 mo,77,2,5,97.31%,51.53%,99.80%,97.47%,97.49%,52.61%,1.87%,3.14%,1.88%,3.21%
14,13-<14 mo,70,3,7,96.08%,50.02%,99.80%,97.28%,96.23%,51.09%,2.16%,3.15%,2.17%,3.23%
15,14-<15 mo,60,0,2,100.00%,50.02%,99.80%,97.09%,100.00%,51.09%,0.00%,3.15%,0.00%,3.23%
16,15-<16 mo,58,6,8,89.25%,45.20%,99.80%,96.90%,89.42%,46.30%,4.16%,3.47%,4.17%,3.57%
17,16-<17 mo,44,2,2,95.83%,43.96%,99.79%,96.71%,95.99%,45.03%,2.80%,3.48%,2.81%,3.57%
18,17-<18 mo,40,4,4,89.26%,39.46%,99.80%,96.51%,89.44%,40.49%,5.13%,3.86%,5.14%,3.96%
19,18-<19 mo,32,0,5,100.00%,39.46%,99.80%,96.33%,100.00%,40.49%,0.00%,3.86%,0.00%,3.96%
20,19-<20 mo,27,0,5,100.00%,39.46%,99.79%,96.13%,100.00%,40.49%,0.00%,3.86%,0.00%,3.96%
21,20-<21 mo,22,0,8,100.00%,39.46%,99.78%,95.93%,100.00%,40.49%,0.00%,3.86%,0.00%,3.96%
22,21-<22 mo,14,0,1,100.00%,39.46%,99.79%,95.73%,100.00%,40.49%,0.00%,3.86%,0.00%,3.96%
23,22-<23 mo,13,0,2,100.00%,39.46%,99.80%,95.54%,100.00%,40.49%,0.00%,3.86%,0.00%,3.96%
24,23-<24 mo,11,0,11,+,+,99.80%,95.36%,+,+,+,+,+,+
