Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,286,13,9,95.38%,95.38%,99.75%,99.75%,95.62%,95.62%,1.25%,1.25%,1.25%,1.25%
2,1-<2 mo,264,14,13,94.56%,90.20%,99.75%,99.50%,94.80%,90.65%,1.41%,1.79%,1.42%,1.80%
3,2-<3 mo,237,13,16,94.32%,85.08%,99.75%,99.25%,94.56%,85.72%,1.53%,2.18%,1.53%,2.20%
4,3-<4 mo,208,10,6,95.12%,80.93%,99.75%,99.00%,95.37%,81.74%,1.50%,2.44%,1.51%,2.46%
5,4-<5 mo,192,5,14,97.30%,78.74%,99.74%,98.74%,97.55%,79.74%,1.19%,2.56%,1.20%,2.59%
6,5-<6 mo,173,7,11,95.82%,75.45%,99.74%,98.49%,96.07%,76.61%,1.55%,2.74%,1.55%,2.78%
7,6-<7 mo,155,4,8,97.35%,73.45%,99.74%,98.23%,97.60%,74.77%,1.31%,2.84%,1.31%,2.90%
8,7-<8 mo,143,6,11,95.64%,70.24%,99.74%,97.98%,95.89%,71.70%,1.74%,3.01%,1.75%,3.07%
9,8-<9 mo,126,5,4,95.97%,67.41%,99.74%,97.72%,96.22%,68.98%,1.77%,3.14%,1.77%,3.21%
10,9-<10 mo,117,4,8,96.46%,65.03%,99.75%,97.48%,96.70%,66.71%,1.74%,3.25%,1.74%,3.33%
11,10-<11 mo,105,3,13,96.95%,63.05%,99.75%,97.24%,97.20%,64.84%,1.73%,3.34%,1.74%,3.44%
12,11-<12 mo,89,4,6,95.35%,60.11%,99.72%,96.97%,95.62%,61.99%,2.27%,3.50%,2.28%,3.60%
13,12-<13 mo,79,3,7,96.03%,57.72%,99.67%,96.65%,96.34%,59.72%,2.25%,3.62%,2.26%,3.74%
14,13-<14 mo,69,3,4,95.52%,55.14%,99.66%,96.32%,95.85%,57.25%,2.53%,3.75%,2.54%,3.89%
15,14-<15 mo,62,3,4,95.00%,52.38%,99.65%,95.98%,95.33%,54.57%,2.81%,3.89%,2.82%,4.05%
16,15-<16 mo,55,1,4,98.11%,51.39%,99.68%,95.67%,98.43%,53.72%,1.87%,3.94%,1.88%,4.12%
17,16-<17 mo,50,2,5,95.79%,49.23%,99.70%,95.39%,96.07%,51.61%,2.91%,4.06%,2.92%,4.25%
18,17-<18 mo,43,2,3,95.18%,46.86%,99.68%,95.09%,95.48%,49.28%,3.32%,4.19%,3.34%,4.41%
19,18-<19 mo,38,2,9,94.03%,44.06%,99.67%,94.78%,94.34%,46.49%,4.09%,4.39%,4.11%,4.63%
20,19-<20 mo,27,1,9,95.56%,42.10%,99.65%,94.45%,95.89%,44.58%,4.34%,4.61%,4.36%,4.88%
21,20-<21 mo,17,0,6,100.00%,42.10%,99.63%,94.10%,100.0000%*,44.5770%#,0.00%,4.61%,0.00%,4.8783%#
22,21-<22 mo,11,1,3,89.47%,37.67%,99.53%,93.66%,89.89%,40.22%,9.96%,5.88%,10.00%,6.28%
23,22-<23 mo,7,0,2,100.00%,37.67%,99.33%,93.03%,100.0000%*,40.2210%#,0.00%,5.88%,0.00%,6.2776%#
24,23-<24 mo,5,0,5,+,+,99.17%,92.25%,+,+,+,+,+,+
