Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,326,5,20,98.32%,98.32%,99.82%,99.82%,98.49%,98.49%,0.94%,0.94%,0.94%,0.94%
2,1-<2 mo,301,4,13,97.90%,96.26%,99.83%,99.65%,98.07%,96.60%,1.15%,1.45%,1.15%,1.46%
3,2-<3 mo,284,9,14,95.36%,91.80%,99.82%,99.48%,95.52%,92.28%,1.81%,2.21%,1.81%,2.23%
4,3-<4 mo,261,10,9,93.83%,86.20%,99.83%,99.31%,93.99%,86.78%,2.22%,2.85%,2.22%,2.88%
5,4-<5 mo,242,7,12,96.18%,82.93%,99.84%,99.15%,96.34%,83.62%,1.68%,3.09%,1.68%,3.13%
6,5-<6 mo,223,7,19,96.45%,80.00%,99.84%,98.99%,96.59%,80.76%,1.82%,3.30%,1.82%,3.35%
7,6-<7 mo,197,5,6,98.94%,79.06%,99.85%,98.84%,98.94%,79.82%,0.47%,3.32%,0.47%,3.37%
8,7-<8 mo,186,3,9,98.57%,77.89%,99.85%,98.69%,98.59%,78.70%,1.01%,3.38%,1.01%,3.44%
9,8-<9 mo,174,2,12,98.70%,76.87%,99.85%,98.54%,98.73%,77.70%,1.05%,3.45%,1.05%,3.50%
10,9-<10 mo,160,4,7,96.21%,74.00%,99.84%,98.39%,96.34%,75.15%,2.24%,3.68%,2.25%,3.77%
11,10-<11 mo,149,7,9,92.24%,68.40%,99.85%,98.24%,92.37%,69.56%,3.16%,4.03%,3.17%,4.13%
12,11-<12 mo,133,5,11,93.25%,64.01%,99.85%,98.10%,93.38%,65.14%,3.46%,4.29%,3.47%,4.41%
13,12-<13 mo,117,8,6,90.28%,58.07%,99.83%,97.93%,90.43%,59.15%,4.54%,4.60%,4.55%,4.74%
14,13-<14 mo,103,4,11,97.17%,56.24%,99.84%,97.78%,97.19%,57.32%,1.72%,4.64%,1.72%,4.78%
15,14-<15 mo,88,3,7,97.29%,54.61%,99.84%,97.62%,97.31%,55.69%,1.84%,4.68%,1.84%,4.82%
16,15-<16 mo,78,2,6,97.36%,53.17%,99.83%,97.45%,97.38%,54.25%,2.10%,4.71%,2.11%,4.86%
17,16-<17 mo,70,1,11,93.27%,49.94%,99.83%,97.29%,93.39%,51.13%,6.19%,5.18%,6.21%,5.40%
18,17-<18 mo,58,1,11,96.32%,48.20%,99.82%,97.12%,96.34%,49.39%,3.43%,5.29%,3.43%,5.51%
19,18-<19 mo,46,2,7,89.42%,43.69%,99.82%,96.94%,89.54%,44.77%,8.62%,5.71%,8.65%,5.99%
20,19-<20 mo,37,1,10,90.80%,39.92%,99.88%,96.83%,90.82%,40.97%,7.51%,6.18%,7.52%,6.45%
21,20-<21 mo,26,0,8,100.00%,39.92%,99.86%,96.70%,100.00%,40.97%,0.00%,6.18%,0.00%,6.45%
22,21-<22 mo,18,0,4,+,+,99.87%,96.58%,+,+,+,+,+,+
