Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,433,5,11,98.83%,98.83%,99.77%,99.77%,99.06%,99.06%,0.52%,0.52%,0.52%,0.52%
2,1-<2 mo,417,4,12,99.03%,97.87%,99.78%,99.55%,99.25%,98.31%,0.48%,0.70%,0.49%,0.71%
3,2-<3 mo,401,6,19,98.47%,96.37%,99.78%,99.33%,98.69%,97.02%,0.62%,0.92%,0.62%,0.93%
4,3-<4 mo,376,3,16,99.18%,95.58%,99.78%,99.11%,99.40%,96.44%,0.47%,1.02%,0.47%,1.03%
5,4-<5 mo,357,2,17,99.43%,95.03%,99.78%,98.89%,99.64%,96.10%,0.40%,1.08%,0.41%,1.10%
6,5-<6 mo,338,2,17,99.39%,94.46%,99.78%,98.68%,99.61%,95.72%,0.43%,1.15%,0.43%,1.17%
7,6-<7 mo,319,2,17,99.36%,93.85%,99.78%,98.46%,99.58%,95.32%,0.45%,1.22%,0.46%,1.24%
8,7-<8 mo,300,5,15,98.29%,92.25%,99.79%,98.25%,98.50%,93.89%,0.76%,1.40%,0.76%,1.42%
9,8-<9 mo,280,2,18,99.26%,91.56%,99.79%,98.04%,99.47%,93.39%,0.52%,1.47%,0.52%,1.50%
10,9-<10 mo,260,2,15,99.21%,90.84%,99.80%,97.84%,99.41%,92.84%,0.56%,1.54%,0.56%,1.58%
11,10-<11 mo,243,4,12,98.31%,89.31%,99.80%,97.65%,98.51%,91.45%,0.84%,1.70%,0.84%,1.74%
12,11-<12 mo,227,3,22,98.61%,88.07%,99.80%,97.46%,98.80%,90.36%,0.80%,1.82%,0.80%,1.86%
13,12-<13 mo,202,1,14,99.49%,87.61%,99.77%,97.24%,99.71%,90.10%,0.51%,1.86%,0.51%,1.92%
14,13-<14 mo,187,4,18,97.75%,85.65%,99.79%,97.03%,97.96%,88.26%,1.11%,2.07%,1.11%,2.13%
15,14-<15 mo,165,2,17,98.72%,84.55%,99.81%,96.85%,98.91%,87.30%,0.90%,2.18%,0.90%,2.25%
16,15-<16 mo,146,0,10,100.00%,84.55%,99.81%,96.66%,100.0000%*,87.3017%#,0.00%,2.18%,0.00%,2.2498%#
17,16-<17 mo,136,1,16,99.22%,83.89%,99.82%,96.49%,99.40%,86.95%,0.78%,2.26%,0.78%,2.34%
18,17-<18 mo,119,1,22,99.07%,83.11%,99.82%,96.31%,99.25%,86.29%,0.92%,2.37%,0.92%,2.46%
19,18-<19 mo,96,0,21,100.00%,83.11%,99.81%,96.13%,100.0000%*,86.2939%#,0.00%,2.37%,0.00%,2.4592%#
20,19-<20 mo,75,0,17,100.00%,83.11%,99.80%,95.94%,100.0000%*,86.2939%#,0.00%,2.37%,0.00%,2.4592%#
21,20-<21 mo,58,0,16,100.00%,83.11%,99.75%,95.70%,100.0000%*,86.2939%#,0.00%,2.37%,0.00%,2.4592%#
22,21-<22 mo,42,0,12,100.00%,83.11%,99.73%,95.44%,100.0000%*,86.2939%#,0.00%,2.37%,0.00%,2.4592%#
23,22-<23 mo,30,0,12,100.00%,83.11%,99.69%,95.14%,100.0000%*,86.2939%#,0.00%,2.37%,0.00%,2.4592%#
24,23-<24 mo,18,0,18,+,+,99.84%,94.99%,+,+,+,+,+,+
