Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,028",103,128,96.53%,96.53%,99.80%,99.80%,96.72%,96.72%,0.34%,0.34%,0.34%,0.34%
2,1-<2 mo,"2,797",118,113,95.69%,92.37%,99.80%,99.60%,95.88%,92.74%,0.39%,0.49%,0.39%,0.50%
3,2-<3 mo,"2,566",82,123,96.73%,89.34%,99.81%,99.41%,96.91%,89.87%,0.36%,0.58%,0.36%,0.58%
4,3-<4 mo,"2,361",71,98,96.93%,86.60%,99.81%,99.23%,97.11%,87.28%,0.36%,0.65%,0.36%,0.65%
5,4-<5 mo,"2,192",49,97,97.71%,84.62%,99.82%,99.04%,97.89%,85.44%,0.32%,0.69%,0.32%,0.70%
6,5-<6 mo,"2,046",40,119,97.99%,82.92%,99.82%,98.87%,98.16%,83.87%,0.32%,0.73%,0.32%,0.74%
7,6-<7 mo,"1,887",47,103,97.44%,80.79%,99.82%,98.69%,97.61%,81.87%,0.37%,0.77%,0.37%,0.78%
8,7-<8 mo,"1,737",44,103,97.39%,78.68%,99.83%,98.52%,97.56%,79.87%,0.39%,0.81%,0.39%,0.83%
9,8-<9 mo,"1,590",34,99,97.79%,76.95%,99.83%,98.35%,97.96%,78.24%,0.37%,0.85%,0.38%,0.86%
10,9-<10 mo,"1,457",36,107,97.44%,74.97%,99.83%,98.18%,97.60%,76.36%,0.42%,0.89%,0.42%,0.91%
11,10-<11 mo,"1,314",28,84,97.80%,73.32%,99.83%,98.02%,97.96%,74.81%,0.41%,0.92%,0.41%,0.94%
12,11-<12 mo,"1,202",27,97,97.66%,71.61%,99.83%,97.85%,97.83%,73.18%,0.45%,0.96%,0.45%,0.98%
13,12-<13 mo,"1,078",21,72,97.98%,70.16%,99.81%,97.66%,98.17%,71.85%,0.44%,0.99%,0.44%,1.01%
14,13-<14 mo,985,18,72,98.10%,68.83%,99.81%,97.47%,98.29%,70.62%,0.44%,1.02%,0.44%,1.05%
15,14-<15 mo,895,24,70,97.21%,66.91%,99.81%,97.29%,97.39%,68.78%,0.56%,1.06%,0.56%,1.09%
16,15-<16 mo,801,18,58,97.67%,65.35%,99.82%,97.11%,97.85%,67.30%,0.54%,1.10%,0.54%,1.13%
17,16-<17 mo,725,17,91,97.50%,63.72%,99.82%,96.94%,97.67%,65.73%,0.60%,1.14%,0.60%,1.18%
18,17-<18 mo,617,21,79,96.36%,61.40%,99.83%,96.77%,96.53%,63.45%,0.78%,1.21%,0.78%,1.25%
19,18-<19 mo,517,12,84,97.47%,59.85%,99.83%,96.60%,97.64%,61.95%,0.72%,1.26%,0.72%,1.30%
20,19-<20 mo,421,7,77,98.17%,58.75%,99.83%,96.44%,98.34%,60.92%,0.69%,1.30%,0.69%,1.35%
21,20-<21 mo,337,8,90,97.26%,57.14%,99.84%,96.28%,97.42%,59.35%,0.96%,1.38%,0.96%,1.44%
22,21-<22 mo,239,8,68,96.10%,54.91%,99.83%,96.12%,96.26%,57.13%,1.35%,1.54%,1.35%,1.60%
23,22-<23 mo,163,2,83,98.35%,54.01%,99.82%,95.94%,98.54%,56.30%,1.15%,1.64%,1.16%,1.71%
24,23-<24 mo,78,1,77,+,+,99.76%,95.71%,+,+,+,+,+,+
