Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,784,41,29,94.72%,94.72%,99.73%,99.73%,94.98%,94.98%,0.80%,0.80%,0.81%,0.81%
2,1-<2 mo,714,59,31,91.44%,86.62%,99.74%,99.47%,91.68%,87.08%,1.07%,1.25%,1.08%,1.26%
3,2-<3 mo,624,53,34,91.39%,79.16%,99.75%,99.22%,91.62%,79.77%,1.14%,1.52%,1.14%,1.53%
4,3-<4 mo,537,35,20,93.33%,73.91%,99.76%,98.98%,93.56%,74.65%,1.09%,1.66%,1.10%,1.67%
5,4-<5 mo,482,34,22,92.56%,68.45%,99.76%,98.75%,92.78%,69.29%,1.23%,1.77%,1.23%,1.80%
6,5-<6 mo,426,25,22,93.79%,64.26%,99.76%,98.51%,94.01%,65.19%,1.21%,1.85%,1.21%,1.88%
7,6-<7 mo,379,17,12,95.55%,61.38%,99.77%,98.29%,95.77%,62.41%,1.06%,1.90%,1.07%,1.93%
8,7-<8 mo,350,23,17,92.99%,57.09%,99.77%,98.07%,93.21%,58.18%,1.40%,1.96%,1.41%,2.00%
9,8-<9 mo,310,17,15,94.54%,53.98%,99.77%,97.85%,94.76%,55.12%,1.29%,2.00%,1.30%,2.04%
10,9-<10 mo,278,16,18,93.80%,50.73%,99.77%,97.63%,94.01%,51.91%,1.50%,2.03%,1.51%,2.08%
11,10-<11 mo,244,21,19,91.12%,46.24%,99.78%,97.41%,91.33%,47.41%,1.87%,2.08%,1.87%,2.13%
12,11-<12 mo,204,10,17,95.39%,43.94%,99.77%,97.19%,95.61%,45.16%,1.42%,2.11%,1.42%,2.16%
13,12-<13 mo,177,8,14,95.42%,41.86%,99.74%,96.94%,95.67%,43.14%,1.58%,2.13%,1.59%,2.20%
14,13-<14 mo,155,12,9,91.89%,38.49%,99.76%,96.71%,92.11%,39.76%,2.24%,2.17%,2.24%,2.24%
15,14-<15 mo,134,5,9,96.21%,37.03%,99.75%,96.48%,96.45%,38.34%,1.67%,2.19%,1.68%,2.26%
16,15-<16 mo,120,11,13,90.42%,33.49%,99.76%,96.26%,90.63%,34.75%,2.77%,2.23%,2.78%,2.31%
17,16-<17 mo,96,3,15,96.88%,32.43%,99.77%,96.04%,97.09%,33.72%,1.77%,2.24%,1.77%,2.33%
18,17-<18 mo,78,2,11,97.32%,31.50%,99.76%,95.82%,97.37%,32.79%,1.85%,2.27%,1.85%,2.36%
19,18-<19 mo,65,4,13,92.75%,29.14%,99.76%,95.59%,92.79%,30.40%,3.33%,2.37%,3.33%,2.46%
20,19-<20 mo,48,2,9,94.93%,27.76%,99.75%,95.36%,95.15%,29.13%,3.53%,2.44%,3.54%,2.55%
21,20-<21 mo,37,0,13,100.00%,27.76%,99.74%,95.12%,100.00%,29.13%,0.00%,2.44%,0.00%,2.55%
22,21-<22 mo,24,0,6,100.00%,27.76%,99.72%,94.86%,100.00%,29.13%,0.00%,2.44%,0.00%,2.55%
23,22-<23 mo,18,1,7,95.14%,26.38%,99.70%,94.58%,95.36%,27.82%,4.58%,2.69%,4.61%,2.85%
24,23-<24 mo,10,0,10,+,+,99.78%,94.38%,+,+,+,+,+,+
