Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,70,3,3,95.62%,95.62%,99.67%,99.67%,95.94%,95.94%,2.47%,2.47%,2.48%,2.48%
2,1-<2 mo,64,5,1,92.13%,88.09%,99.66%,99.32%,92.44%,88.69%,3.38%,3.95%,3.39%,3.98%
3,2-<3 mo,58,4,2,92.98%,81.91%,99.68%,99.00%,93.28%,82.73%,3.38%,4.73%,3.39%,4.78%
4,3-<4 mo,52,2,1,96.12%,78.73%,99.67%,98.68%,96.43%,79.78%,2.69%,5.06%,2.70%,5.12%
5,4-<5 mo,49,1,2,97.92%,77.09%,99.66%,98.35%,98.25%,78.38%,2.06%,5.21%,2.07%,5.30%
6,5-<6 mo,46,1,1,97.80%,75.39%,99.66%,98.01%,98.13%,76.92%,2.17%,5.36%,2.18%,5.47%
7,6-<7 mo,44,3,2,93.02%,70.13%,99.68%,97.70%,93.32%,71.79%,3.89%,5.79%,3.90%,5.92%
8,7-<8 mo,39,3,0,92.31%,64.74%,99.67%,97.37%,92.62%,66.49%,4.27%,6.12%,4.28%,6.29%
9,8-<9 mo,36,2,2,94.29%,61.04%,99.72%,97.09%,94.55%,62.87%,3.92%,6.31%,3.93%,6.49%
10,9-<10 mo,32,2,3,93.44%,57.04%,99.78%,96.88%,93.65%,58.87%,4.48%,6.50%,4.49%,6.71%
11,10-<11 mo,27,0,3,100.00%,57.04%,99.81%,96.69%,100.0000%*,58.8749%#,0.00%,6.50%,0.00%,6.7060%#
12,11-<12 mo,24,0,2,100.00%,57.04%,99.80%,96.50%,100.0000%*,58.8749%#,0.00%,6.50%,0.00%,6.7060%#
13,12-<13 mo,22,0,3,100.00%,57.04%,99.80%,96.31%,100.0000%*,58.8749%#,0.00%,6.50%,0.00%,6.7060%#
14,13-<14 mo,19,0,1,100.00%,57.04%,99.82%,96.13%,100.0000%*,58.8749%#,0.00%,6.50%,0.00%,6.7060%#
15,14-<15 mo,18,0,0,100.00%,57.04%,99.83%,95.96%,100.0000%*,58.8749%#,0.00%,6.50%,0.00%,6.7060%#
16,15-<16 mo,18,1,0,94.44%,53.87%,99.83%,95.80%,94.61%,56.23%,5.40%,6.87%,5.41%,7.17%
17,16-<17 mo,17,1,0,94.12%,50.70%,99.82%,95.63%,94.29%,53.02%,5.71%,7.16%,5.72%,7.48%
18,17-<18 mo,16,1,2,93.33%,47.32%,99.81%,95.45%,93.51%,49.58%,6.44%,7.43%,6.45%,7.79%
19,18-<19 mo,13,1,0,92.31%,43.68%,99.84%,95.29%,92.46%,45.84%,7.39%,7.70%,7.40%,8.08%
20,19-<20 mo,12,1,2,90.91%,39.71%,99.83%,95.12%,91.07%,41.74%,8.67%,7.96%,8.68%,8.37%
21,20-<21 mo,9,0,4,100.00%,39.71%,99.86%,94.99%,100.0000%*,41.7445%#,0.00%,7.96%,0.00%,8.3678%#
22,21-<22 mo,5,0,1,100.00%,39.71%,99.84%,94.84%,100.0000%*,41.7445%#,0.00%,7.96%,0.00%,8.3678%#
23,22-<23 mo,4,0,2,100.00%,39.71%,99.86%,94.70%,100.0000%*,41.7445%#,0.00%,7.96%,0.00%,8.3678%#
24,23-<24 mo,2,0,2,+,+,99.86%,94.57%,+,+,+,+,+,+
