Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,77,2,5,97.32%,97.32%,99.82%,99.82%,97.49%,97.49%,1.87%,1.87%,1.88%,1.88%
2,1-<2 mo,70,1,5,98.52%,95.87%,99.81%,99.63%,98.70%,96.23%,1.47%,2.33%,1.47%,2.34%
3,2-<3 mo,64,4,4,93.55%,89.69%,99.82%,99.45%,93.71%,90.18%,3.12%,3.70%,3.13%,3.72%
4,3-<4 mo,56,2,3,96.33%,86.40%,99.83%,99.28%,96.50%,87.02%,2.55%,4.24%,2.55%,4.27%
5,4-<5 mo,51,2,1,96.04%,82.98%,99.82%,99.10%,96.22%,83.73%,2.74%,4.71%,2.75%,4.75%
6,5-<6 mo,48,0,2,100.00%,82.98%,99.82%,98.92%,100.0000%*,83.7293%#,0.00%,4.71%,0.00%,4.7519%#
7,6-<7 mo,46,1,5,97.70%,81.07%,99.82%,98.75%,97.87%,82.10%,2.27%,4.97%,2.28%,5.04%
8,7-<8 mo,40,3,1,92.41%,74.91%,99.82%,98.57%,92.57%,76.00%,4.22%,5.73%,4.22%,5.81%
9,8-<9 mo,36,2,3,94.20%,70.57%,99.82%,98.39%,94.37%,71.72%,3.98%,6.16%,3.99%,6.26%
10,9-<10 mo,31,0,1,100.00%,70.57%,99.82%,98.21%,100.0000%*,71.7199%#,0.00%,6.16%,0.00%,6.2632%#
11,10-<11 mo,30,1,1,96.61%,68.18%,99.81%,98.03%,96.79%,69.55%,3.33%,6.40%,3.34%,6.53%
12,11-<12 mo,28,2,1,92.73%,63.22%,99.82%,97.85%,92.90%,64.61%,4.95%,6.83%,4.96%,6.98%
13,12-<13 mo,25,0,3,100.00%,63.22%,99.82%,97.67%,100.0000%*,64.6057%#,0.00%,6.83%,0.00%,6.9786%#
14,13-<14 mo,22,1,2,95.24%,60.21%,99.84%,97.51%,95.39%,61.74%,4.65%,7.14%,4.65%,7.32%
15,14-<15 mo,19,1,2,94.44%,56.86%,99.87%,97.38%,94.57%,58.39%,5.40%,7.48%,5.41%,7.68%
16,15-<16 mo,16,0,3,100.00%,56.86%,99.87%,97.26%,100.0000%*,58.3907%#,0.00%,7.48%,0.00%,7.6838%#
17,16-<17 mo,13,1,3,91.30%,51.92%,99.86%,97.12%,91.43%,53.46%,8.31%,8.31%,8.32%,8.55%
18,17-<18 mo,9,0,2,100.00%,51.92%,99.86%,96.99%,100.0000%*,53.4551%#,0.00%,8.31%,0.00%,8.5525%#
19,18-<19 mo,7,0,2,100.00%,51.92%,99.88%,96.87%,100.0000%*,53.4551%#,0.00%,8.31%,0.00%,8.5525%#
20,19-<20 mo,5,0,0,100.00%,51.92%,99.90%,96.77%,100.0000%*,53.4551%#,0.00%,8.31%,0.00%,8.5525%#
21,20-<21 mo,5,0,2,100.00%,51.92%,99.90%,96.67%,100.0000%*,53.4551%#,0.00%,8.31%,0.00%,8.5525%#
22,21-<22 mo,3,0,1,100.00%,51.92%,99.92%,96.59%,100.0000%*,53.4551%#,0.00%,8.31%,0.00%,8.5525%#
23,22-<23 mo,2,0,1,100.00%,51.92%,99.92%,96.51%,100.0000%*,53.4551%#,0.00%,8.31%,0.00%,8.5525%#
24,23-<24 mo,1,0,1,+,+,99.94%,96.45%,+,+,+,+,+,+
