Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,179",84,75,96.08%,96.08%,99.74%,99.74%,96.33%,96.33%,0.42%,0.42%,0.42%,0.42%
2,1-<2 mo,"2,020",43,74,97.83%,93.99%,99.75%,99.49%,98.08%,94.48%,0.33%,0.52%,0.33%,0.52%
3,2-<3 mo,"1,903",24,76,98.71%,92.78%,99.76%,99.25%,98.96%,93.49%,0.26%,0.57%,0.26%,0.57%
4,3-<4 mo,"1,803",23,86,98.69%,91.57%,99.76%,99.00%,98.93%,92.49%,0.27%,0.61%,0.27%,0.62%
5,4-<5 mo,"1,694",29,66,98.25%,89.97%,99.76%,98.77%,98.49%,91.10%,0.32%,0.67%,0.32%,0.68%
6,5-<6 mo,"1,599",17,91,98.91%,88.99%,99.76%,98.53%,99.14%,90.31%,0.26%,0.70%,0.26%,0.71%
7,6-<7 mo,"1,491",21,83,98.55%,87.70%,99.77%,98.30%,98.78%,89.21%,0.31%,0.75%,0.31%,0.76%
8,7-<8 mo,"1,387",16,65,98.82%,86.66%,99.77%,98.08%,99.04%,88.36%,0.29%,0.78%,0.29%,0.80%
9,8-<9 mo,"1,306",12,73,99.05%,85.84%,99.78%,97.86%,99.28%,87.72%,0.27%,0.81%,0.27%,0.83%
10,9-<10 mo,"1,221",11,72,99.07%,85.05%,99.78%,97.64%,99.29%,87.10%,0.28%,0.84%,0.28%,0.86%
11,10-<11 mo,"1,138",11,71,99.00%,84.20%,99.77%,97.42%,99.23%,86.43%,0.30%,0.87%,0.30%,0.89%
12,11-<12 mo,"1,056",12,114,98.80%,83.19%,99.78%,97.21%,99.02%,85.58%,0.34%,0.90%,0.35%,0.93%
13,12-<13 mo,930,9,58,99.00%,82.36%,99.76%,96.97%,99.24%,84.93%,0.33%,0.94%,0.33%,0.97%
14,13-<14 mo,863,10,85,98.78%,81.35%,99.76%,96.73%,99.02%,84.10%,0.38%,0.98%,0.38%,1.01%
15,14-<15 mo,768,5,70,99.32%,80.80%,99.76%,96.50%,99.56%,83.73%,0.30%,1.00%,0.30%,1.04%
16,15-<16 mo,693,14,57,97.89%,79.10%,99.76%,96.27%,98.13%,82.16%,0.56%,1.08%,0.56%,1.12%
17,16-<17 mo,622,5,68,99.15%,78.42%,99.76%,96.03%,99.39%,81.66%,0.38%,1.11%,0.38%,1.16%
18,17-<18 mo,549,5,103,99.00%,77.63%,99.75%,95.80%,99.24%,81.04%,0.45%,1.15%,0.45%,1.21%
19,18-<19 mo,441,1,72,99.75%,77.44%,99.75%,95.55%,100.0000%*,81.0426%#,0.25%,1.17%,0.25%,1.2055%#
20,19-<20 mo,368,2,69,99.40%,76.98%,99.74%,95.31%,99.66%,80.77%,0.42%,1.21%,0.42%,1.27%
21,20-<21 mo,297,1,76,99.61%,76.68%,99.73%,95.05%,99.88%,80.67%,0.39%,1.24%,0.39%,1.30%
22,21-<22 mo,220,0,67,100.00%,76.68%,99.73%,94.80%,100.0000%*,80.6735%#,0.00%,1.24%,0.00%,1.3019%#
23,22-<23 mo,153,0,62,100.00%,76.68%,99.72%,94.53%,100.0000%*,80.6735%#,0.00%,1.24%,0.00%,1.3019%#
24,23-<24 mo,91,1,90,+,+,99.75%,94.29%,+,+,+,+,+,+
