Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,773",113,70,93.89%,93.89%,99.79%,99.79%,94.09%,94.09%,0.58%,0.58%,0.58%,0.58%
2,1-<2 mo,"1,590",174,49,88.71%,83.30%,99.79%,99.58%,88.89%,83.64%,0.83%,0.93%,0.83%,0.93%
3,2-<3 mo,"1,367",143,52,89.31%,74.40%,99.80%,99.38%,89.49%,74.86%,0.87%,1.10%,0.87%,1.11%
4,3-<4 mo,"1,172",99,49,90.96%,67.70%,99.79%,99.17%,91.15%,68.25%,0.89%,1.19%,0.89%,1.21%
5,4-<5 mo,"1,024",70,45,92.59%,62.68%,99.79%,98.97%,92.78%,63.32%,0.87%,1.25%,0.87%,1.26%
6,5-<6 mo,909,61,68,92.62%,58.11%,99.80%,98.77%,92.80%,58.80%,0.94%,1.29%,0.94%,1.31%
7,6-<7 mo,780,52,49,92.28%,53.69%,99.79%,98.57%,92.47%,54.43%,1.05%,1.32%,1.05%,1.34%
8,7-<8 mo,679,29,29,95.32%,51.22%,99.79%,98.37%,95.52%,52.02%,0.88%,1.34%,0.89%,1.36%
9,8-<9 mo,621,37,38,92.89%,47.72%,99.80%,98.17%,93.08%,48.54%,1.16%,1.36%,1.17%,1.39%
10,9-<10 mo,546,20,38,95.63%,45.72%,99.80%,97.97%,95.82%,46.59%,1.00%,1.37%,1.00%,1.40%
11,10-<11 mo,488,21,27,95.38%,43.67%,99.79%,97.77%,95.58%,44.58%,1.05%,1.38%,1.05%,1.41%
12,11-<12 mo,440,23,40,93.72%,41.05%,99.80%,97.57%,93.91%,41.98%,1.32%,1.39%,1.32%,1.43%
13,12-<13 mo,377,18,26,94.42%,38.86%,99.77%,97.35%,94.64%,39.81%,1.34%,1.41%,1.34%,1.45%
14,13-<14 mo,333,19,36,94.25%,36.59%,99.78%,97.14%,94.45%,37.56%,1.39%,1.43%,1.39%,1.47%
15,14-<15 mo,278,14,23,94.77%,34.76%,99.77%,96.92%,94.97%,35.73%,1.47%,1.44%,1.47%,1.49%
16,15-<16 mo,241,7,23,95.52%,33.48%,99.79%,96.72%,95.69%,34.44%,1.63%,1.45%,1.63%,1.50%
17,16-<17 mo,211,6,21,96.73%,32.42%,99.79%,96.52%,96.93%,33.42%,1.40%,1.46%,1.41%,1.52%
18,17-<18 mo,184,4,29,97.37%,31.67%,99.79%,96.33%,97.55%,32.69%,1.42%,1.48%,1.42%,1.53%
19,18-<19 mo,151,4,25,97.18%,30.78%,99.79%,96.13%,97.38%,31.83%,1.53%,1.50%,1.53%,1.57%
20,19-<20 mo,122,9,27,91.52%,28.08%,99.78%,95.92%,91.73%,29.11%,2.86%,1.62%,2.86%,1.69%
21,20-<21 mo,86,5,19,93.55%,26.18%,99.78%,95.71%,93.76%,27.21%,2.95%,1.73%,2.95%,1.80%
22,21-<22 mo,62,2,22,94.35%,25.07%,99.75%,95.47%,94.53%,26.05%,3.73%,1.80%,3.74%,1.88%
23,22-<23 mo,38,1,17,95.14%,24.24%,99.71%,95.21%,95.35%,25.18%,4.58%,1.89%,4.61%,1.99%
24,23-<24 mo,20,1,19,+,+,99.79%,95.01%,+,+,+,+,+,+
