Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"7,366",451,295,93.75%,93.75%,99.74%,99.74%,94.00%,94.00%,0.28%,0.28%,0.29%,0.29%
2,1-<2 mo,"6,620",574,242,91.17%,85.47%,99.74%,99.48%,91.40%,85.92%,0.35%,0.42%,0.35%,0.42%
3,2-<3 mo,"5,804",407,246,92.84%,79.35%,99.75%,99.23%,93.07%,79.96%,0.34%,0.49%,0.34%,0.49%
4,3-<4 mo,"5,151",338,226,93.29%,74.03%,99.75%,98.99%,93.52%,74.78%,0.35%,0.53%,0.35%,0.54%
5,4-<5 mo,"4,587",234,213,94.78%,70.16%,99.76%,98.75%,95.01%,71.05%,0.33%,0.56%,0.33%,0.57%
6,5-<6 mo,"4,140",217,234,94.61%,66.37%,99.76%,98.52%,94.83%,67.37%,0.36%,0.59%,0.36%,0.60%
7,6-<7 mo,"3,689",202,171,94.39%,62.65%,99.76%,98.28%,94.62%,63.75%,0.38%,0.61%,0.38%,0.62%
8,7-<8 mo,"3,316",151,203,95.30%,59.71%,99.77%,98.05%,95.53%,60.90%,0.37%,0.63%,0.37%,0.64%
9,8-<9 mo,"2,962",151,150,94.77%,56.59%,99.77%,97.83%,94.99%,57.84%,0.41%,0.64%,0.42%,0.66%
10,9-<10 mo,"2,661",138,168,94.64%,53.56%,99.78%,97.61%,94.86%,54.87%,0.44%,0.66%,0.44%,0.68%
11,10-<11 mo,"2,355",108,163,95.25%,51.01%,99.77%,97.39%,95.47%,52.38%,0.45%,0.67%,0.45%,0.69%
12,11-<12 mo,"2,084",104,151,94.82%,48.37%,99.78%,97.17%,95.04%,49.78%,0.49%,0.68%,0.50%,0.70%
13,12-<13 mo,"1,829",65,120,96.33%,46.59%,99.76%,96.93%,96.56%,48.07%,0.45%,0.69%,0.45%,0.72%
14,13-<14 mo,"1,644",69,130,95.63%,44.56%,99.76%,96.70%,95.86%,46.08%,0.51%,0.71%,0.52%,0.73%
15,14-<15 mo,"1,445",53,139,96.15%,42.84%,99.76%,96.46%,96.38%,44.41%,0.52%,0.72%,0.52%,0.74%
16,15-<16 mo,"1,253",41,125,96.56%,41.37%,99.76%,96.24%,96.78%,42.98%,0.53%,0.73%,0.53%,0.76%
17,16-<17 mo,"1,087",44,139,95.68%,39.58%,99.77%,96.01%,95.90%,41.22%,0.64%,0.75%,0.64%,0.78%
18,17-<18 mo,904,24,135,97.13%,38.44%,99.78%,95.80%,97.35%,40.13%,0.58%,0.76%,0.58%,0.79%
19,18-<19 mo,745,36,100,94.82%,36.45%,99.78%,95.58%,95.03%,38.13%,0.84%,0.79%,0.84%,0.83%
20,19-<20 mo,609,21,108,96.22%,35.07%,99.77%,95.37%,96.43%,36.77%,0.81%,0.81%,0.81%,0.85%
21,20-<21 mo,480,10,141,97.56%,34.21%,99.78%,95.16%,97.78%,35.96%,0.76%,0.84%,0.76%,0.88%
22,21-<22 mo,329,7,97,97.50%,33.36%,99.77%,94.93%,97.73%,35.14%,0.93%,0.88%,0.93%,0.92%
23,22-<23 mo,225,2,109,98.83%,32.97%,99.76%,94.70%,99.07%,34.81%,0.82%,0.91%,0.83%,0.96%
24,23-<24 mo,114,1,113,+,+,99.77%,94.48%,+,+,+,+,+,+
