Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"4,243",85,168,97.96%,97.96%,99.80%,99.80%,98.15%,98.15%,0.22%,0.22%,0.22%,0.22%
2,1-<2 mo,"3,990",72,155,98.16%,96.15%,99.80%,99.60%,98.35%,96.54%,0.21%,0.30%,0.22%,0.30%
3,2-<3 mo,"3,763",48,161,98.70%,94.90%,99.81%,99.41%,98.89%,95.46%,0.19%,0.35%,0.19%,0.35%
4,3-<4 mo,"3,554",54,143,98.45%,93.43%,99.81%,99.23%,98.63%,94.16%,0.21%,0.40%,0.21%,0.40%
5,4-<5 mo,"3,357",39,132,98.81%,92.32%,99.82%,99.04%,99.00%,93.21%,0.19%,0.43%,0.19%,0.43%
6,5-<6 mo,"3,186",40,181,98.71%,91.13%,99.82%,98.87%,98.89%,92.17%,0.20%,0.46%,0.20%,0.47%
7,6-<7 mo,"2,965",20,175,99.31%,90.50%,99.82%,98.69%,99.48%,91.70%,0.15%,0.48%,0.16%,0.49%
8,7-<8 mo,"2,770",24,166,99.11%,89.69%,99.82%,98.52%,99.28%,91.04%,0.18%,0.50%,0.18%,0.51%
9,8-<9 mo,"2,580",20,181,99.20%,88.97%,99.83%,98.34%,99.37%,90.46%,0.18%,0.53%,0.18%,0.53%
10,9-<10 mo,"2,379",18,174,99.21%,88.27%,99.83%,98.17%,99.39%,89.91%,0.18%,0.55%,0.18%,0.56%
11,10-<11 mo,"2,187",14,155,99.34%,87.68%,99.83%,98.00%,99.51%,89.47%,0.18%,0.56%,0.18%,0.58%
12,11-<12 mo,"2,018",32,150,98.35%,86.24%,99.83%,97.83%,98.52%,88.15%,0.29%,0.61%,0.29%,0.62%
13,12-<13 mo,"1,836",16,150,99.09%,85.45%,99.81%,97.65%,99.28%,87.51%,0.23%,0.64%,0.23%,0.65%
14,13-<14 mo,"1,670",13,156,99.18%,84.76%,99.81%,97.46%,99.37%,86.96%,0.23%,0.66%,0.23%,0.68%
15,14-<15 mo,"1,501",8,158,99.44%,84.28%,99.81%,97.28%,99.63%,86.64%,0.20%,0.68%,0.20%,0.70%
16,15-<16 mo,"1,335",6,113,99.53%,83.88%,99.81%,97.10%,99.72%,86.39%,0.19%,0.69%,0.19%,0.71%
17,16-<17 mo,"1,216",12,143,98.95%,83.00%,99.82%,96.92%,99.13%,85.64%,0.30%,0.73%,0.30%,0.75%
18,17-<18 mo,"1,061",6,162,99.39%,82.50%,99.82%,96.74%,99.57%,85.27%,0.25%,0.75%,0.25%,0.78%
19,18-<19 mo,893,5,152,99.39%,81.99%,99.82%,96.57%,99.56%,84.90%,0.27%,0.78%,0.27%,0.81%
20,19-<20 mo,736,2,164,99.69%,81.74%,99.83%,96.41%,99.87%,84.79%,0.22%,0.80%,0.22%,0.83%
21,20-<21 mo,570,4,155,99.19%,81.08%,99.84%,96.25%,99.35%,84.24%,0.40%,0.86%,0.41%,0.89%
22,21-<22 mo,411,4,122,98.86%,80.15%,99.85%,96.11%,99.01%,83.40%,0.57%,0.97%,0.57%,1.01%
23,22-<23 mo,285,2,147,99.05%,79.39%,99.87%,95.98%,99.19%,82.72%,0.67%,1.10%,0.67%,1.14%
24,23-<24 mo,136,0,136,+,+,99.88%,95.86%,+,+,+,+,+,+
