Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,19,3,1,83.78%,83.78%,99.81%,99.81%,83.94%,83.94%,8.57%,8.57%,8.59%,8.59%
2,1-<2 mo,15,1,0,93.33%,78.20%,99.82%,99.63%,93.51%,78.49%,6.44%,9.65%,6.45%,9.68%
3,2-<3 mo,14,0,2,100.00%,78.20%,99.86%,99.49%,100.0000%*,78.4884%#,0.00%,9.65%,0.00%,9.6843%#
4,3-<4 mo,12,0,1,100.00%,78.20%,99.84%,99.33%,100.0000%*,78.4884%#,0.00%,9.65%,0.00%,9.6843%#
5,4-<5 mo,11,0,0,100.00%,78.20%,99.83%,99.17%,100.0000%*,78.4884%#,0.00%,9.65%,0.00%,9.6843%#
6,5-<6 mo,11,1,1,90.48%,70.75%,99.83%,99.00%,90.63%,71.47%,9.06%,11.24%,9.07%,11.36%
7,6-<7 mo,9,0,0,100.00%,70.75%,99.84%,98.84%,100.0000%*,71.4652%#,0.00%,11.24%,0.00%,11.3558%#
8,7-<8 mo,9,0,0,100.00%,70.75%,99.84%,98.69%,100.0000%*,71.4652%#,0.00%,11.24%,0.00%,11.3558%#
9,8-<9 mo,9,0,1,100.00%,70.75%,99.84%,98.53%,100.0000%*,71.4652%#,0.00%,11.24%,0.00%,11.3558%#
10,9-<10 mo,8,0,0,100.00%,70.75%,99.82%,98.36%,100.0000%*,71.4652%#,0.00%,11.24%,0.00%,11.3558%#
11,10-<11 mo,8,0,0,100.00%,70.75%,99.82%,98.18%,100.0000%*,71.4652%#,0.00%,11.24%,0.00%,11.3558%#
12,11-<12 mo,8,3,1,60.00%,42.45%,99.82%,98.01%,60.11%,43.31%,17.89%,14.34%,17.92%,14.63%
13,12-<13 mo,4,0,0,100.00%,42.45%,99.90%,97.91%,100.0000%*,43.3122%#,0.00%,14.34%,0.00%,14.6327%#
14,13-<14 mo,4,0,0,100.00%,42.45%,99.90%,97.81%,100.0000%*,43.3122%#,0.00%,14.34%,0.00%,14.6327%#
15,14-<15 mo,4,0,0,100.00%,42.45%,99.90%,97.72%,100.0000%*,43.3122%#,0.00%,14.34%,0.00%,14.6327%#
16,15-<16 mo,4,0,0,100.00%,42.45%,99.90%,97.62%,100.0000%*,43.3122%#,0.00%,14.34%,0.00%,14.6327%#
17,16-<17 mo,4,0,0,100.00%,42.45%,99.90%,97.52%,100.0000%*,43.3122%#,0.00%,14.34%,0.00%,14.6327%#
18,17-<18 mo,4,0,0,100.00%,42.45%,99.90%,97.42%,100.0000%*,43.3122%#,0.00%,14.34%,0.00%,14.6327%#
19,18-<19 mo,4,0,0,100.00%,42.45%,99.90%,97.32%,100.0000%*,43.3122%#,0.00%,14.34%,0.00%,14.6327%#
20,19-<20 mo,4,1,0,75.00%,31.84%,99.90%,97.22%,75.08%,32.75%,21.65%,14.15%,21.67%,14.55%
21,20-<21 mo,3,0,0,100.00%,31.84%,99.87%,97.10%,100.0000%*,32.7466%#,0.00%,14.15%,0.00%,14.5519%#
22,21-<22 mo,3,0,0,100.00%,31.84%,99.87%,96.97%,100.0000%*,32.7466%#,0.00%,14.15%,0.00%,14.5519%#
23,22-<23 mo,3,0,1,100.00%,31.84%,99.87%,96.84%,100.0000%*,32.7466%#,0.00%,14.15%,0.00%,14.5519%#
24,23-<24 mo,2,0,2,+,+,99.84%,96.69%,+,+,+,+,+,+
