Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,271,19,18,93.42%,93.42%,99.76%,99.76%,93.65%,93.65%,1.51%,1.51%,1.52%,1.52%
2,1-<2 mo,234,25,11,90.01%,84.23%,99.76%,99.51%,90.22%,84.61%,1.93%,2.25%,1.94%,2.26%
3,2-<3 mo,198,19,7,91.04%,76.65%,99.77%,99.28%,91.25%,77.17%,1.96%,2.65%,1.96%,2.67%
4,3-<4 mo,172,10,10,93.85%,71.85%,99.77%,99.06%,94.06%,72.50%,1.92%,2.93%,1.92%,2.96%
5,4-<5 mo,152,16,9,89.16%,64.03%,99.78%,98.84%,89.36%,64.74%,2.61%,3.25%,2.61%,3.28%
6,5-<6 mo,127,20,3,84.76%,54.44%,99.78%,98.62%,84.94%,55.14%,3.20%,3.46%,3.21%,3.50%
7,6-<7 mo,104,6,6,94.01%,51.14%,99.79%,98.42%,94.21%,51.90%,2.38%,3.53%,2.39%,3.57%
8,7-<8 mo,92,9,2,90.95%,46.87%,99.79%,98.21%,91.13%,47.63%,2.84%,3.54%,2.85%,3.59%
9,8-<9 mo,81,4,3,94.94%,44.49%,99.78%,98.00%,95.15%,45.30%,2.49%,3.58%,2.50%,3.63%
10,9-<10 mo,74,7,4,89.64%,39.44%,99.78%,97.79%,89.84%,40.27%,3.70%,3.67%,3.71%,3.73%
11,10-<11 mo,63,4,10,94.02%,37.29%,99.78%,97.58%,94.21%,38.12%,2.86%,3.67%,2.87%,3.73%
12,11-<12 mo,49,7,4,85.78%,32.27%,99.78%,97.37%,85.96%,33.01%,4.99%,3.72%,5.00%,3.79%
13,12-<13 mo,38,3,5,92.50%,30.42%,99.77%,97.15%,92.65%,31.10%,3.94%,3.69%,3.96%,3.76%
14,13-<14 mo,30,4,5,84.77%,25.61%,99.78%,96.94%,84.97%,26.26%,7.23%,4.00%,7.24%,4.08%
15,14-<15 mo,21,2,2,86.65%,21.71%,99.77%,96.71%,86.83%,22.33%,8.60%,4.22%,8.61%,4.30%
16,15-<16 mo,17,1,2,93.87%,19.88%,99.75%,96.48%,93.89%,20.49%,5.41%,4.35%,5.41%,4.44%
17,16-<17 mo,14,2,4,79.84%,15.71%,99.74%,96.23%,80.04%,16.31%,11.49%,3.99%,11.51%,4.09%
18,17-<18 mo,8,1,2,89.06%,14.19%,99.68%,95.93%,89.27%,14.70%,9.48%,4.04%,9.54%,4.15%
19,18-<19 mo,5,2,0,64.32%,8.71%,99.78%,95.73%,64.43%,9.00%,18.29%,4.22%,18.35%,4.33%
20,19-<20 mo,3,0,0,100.00%,8.71%,99.65%,95.41%,100.00%,9.00%,0.00%,4.22%,0.00%,4.33%
21,20-<21 mo,3,1,0,56.23%,6.43%,99.65%,95.09%,56.23%,6.52%,0.00%,3.78%,0.00%,3.83%
22,21-<22 mo,2,0,1,+,+,+,+,+,+,+,+,+,+
