Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,14,0,0,100.00%,100.00%,99.52%,99.52%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,14,0,0,100.00%,100.00%,99.52%,99.05%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
3,2-<3 mo,14,0,0,100.00%,100.00%,99.52%,98.58%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
4,3-<4 mo,14,1,0,92.71%,92.71%,99.52%,98.11%,93.08%,94.22%,6.66%,6.66%,6.73%,6.94%
5,4-<5 mo,13,0,1,100.00%,92.71%,99.51%,97.64%,100.00%,94.22%,0.00%,6.66%,0.00%,6.94%
6,5-<6 mo,12,0,0,100.00%,92.71%,99.50%,97.17%,100.00%,94.22%,0.00%,6.66%,0.00%,6.94%
7,6-<7 mo,12,1,0,91.25%,85.41%,99.50%,96.70%,91.61%,87.59%,7.83%,8.42%,7.91%,9.05%
8,7-<8 mo,11,0,0,100.00%,85.41%,99.67%,96.39%,100.00%,87.59%,0.00%,8.42%,0.00%,9.05%
9,8-<9 mo,11,1,1,87.50%,77.08%,99.67%,96.08%,87.70%,78.93%,10.57%,9.26%,10.64%,10.09%
10,9-<10 mo,9,0,0,100.00%,77.08%,99.67%,95.77%,100.00%,78.93%,0.00%,9.26%,0.00%,10.09%
11,10-<11 mo,9,0,1,100.00%,77.08%,99.67%,95.47%,100.00%,78.93%,0.00%,9.26%,0.00%,10.09%
12,11-<12 mo,8,0,0,100.00%,77.08%,99.67%,95.16%,100.00%,78.93%,0.00%,9.26%,0.00%,10.09%
13,12-<13 mo,8,0,1,100.00%,77.08%,99.63%,94.82%,100.00%,78.93%,0.00%,9.26%,0.00%,10.09%
14,13-<14 mo,7,0,1,100.00%,77.08%,99.46%,94.34%,100.00%,78.93%,0.00%,9.26%,0.00%,10.09%
15,14-<15 mo,6,0,1,100.00%,77.08%,99.46%,93.86%,100.00%,78.93%,0.00%,9.26%,0.00%,10.09%
16,15-<16 mo,5,1,0,56.23%,56.23%,99.46%,93.39%,56.23%,56.23%,0.00%,0.00%,0.00%,0.00%
17,16-<17 mo,4,0,0,+,56.23%,+,+,+,56.23%,+,0.00%,+,0.00%
18,17-<18 mo,4,0,0,+,56.23%,+,+,+,56.23%,+,0.00%,+,0.00%
19,18-<19 mo,4,0,2,+,56.23%,+,+,+,56.23%,+,0.00%,+,0.00%
20,19-<20 mo,2,0,0,+,56.23%,+,+,+,56.23%,+,0.00%,+,0.00%
21,20-<21 mo,2,0,2,+,+,+,+,+,+,+,+,+,+
