Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"9,535",54,430,99.41%,99.41%,99.76%,99.76%,99.65%,99.65%,0.08%,0.08%,0.08%,0.08%
2,1-<2 mo,"9,051",36,414,99.59%,99.01%,99.76%,99.52%,99.83%,99.49%,0.07%,0.11%,0.07%,0.11%
3,2-<3 mo,"8,601",27,420,99.69%,98.70%,99.76%,99.28%,99.91%,99.39%,0.06%,0.12%,0.06%,0.12%
4,3-<4 mo,"8,154",28,357,99.66%,98.37%,99.76%,99.05%,99.90%,99.29%,0.07%,0.14%,0.07%,0.14%
5,4-<5 mo,"7,769",35,404,99.53%,97.91%,99.76%,98.81%,99.77%,99.08%,0.08%,0.16%,0.08%,0.16%
6,5-<6 mo,"7,330",24,435,99.70%,97.61%,99.76%,98.57%,99.92%,99.00%,0.06%,0.17%,0.06%,0.17%
7,6-<7 mo,"6,871",30,377,99.57%,97.19%,99.76%,98.34%,99.80%,98.81%,0.08%,0.18%,0.08%,0.18%
8,7-<8 mo,"6,464",20,398,99.65%,96.86%,99.76%,98.11%,99.89%,98.71%,0.08%,0.20%,0.08%,0.20%
9,8-<9 mo,"6,046",19,390,99.67%,96.54%,99.76%,97.88%,99.90%,98.62%,0.08%,0.21%,0.08%,0.22%
10,9-<10 mo,"5,637",22,387,99.61%,96.17%,99.76%,97.65%,99.83%,98.45%,0.08%,0.22%,0.08%,0.23%
11,10-<11 mo,"5,228",23,383,99.51%,95.71%,99.76%,97.42%,99.75%,98.23%,0.10%,0.24%,0.10%,0.25%
12,11-<12 mo,"4,822",31,366,99.27%,95.02%,99.77%,97.19%,99.51%,97.74%,0.13%,0.27%,0.13%,0.28%
13,12-<13 mo,"4,425",22,297,99.48%,94.54%,99.74%,96.95%,99.72%,97.47%,0.11%,0.29%,0.11%,0.30%
14,13-<14 mo,"4,106",23,356,99.37%,93.96%,99.74%,96.70%,99.62%,97.12%,0.13%,0.31%,0.13%,0.33%
15,14-<15 mo,"3,727",12,361,99.65%,93.63%,99.75%,96.46%,99.90%,97.03%,0.10%,0.32%,0.10%,0.34%
16,15-<16 mo,"3,354",14,316,99.54%,93.21%,99.75%,96.22%,99.79%,96.83%,0.13%,0.34%,0.13%,0.36%
17,16-<17 mo,"3,024",12,385,99.61%,92.85%,99.75%,95.98%,99.86%,96.69%,0.12%,0.36%,0.12%,0.38%
18,17-<18 mo,"2,627",17,417,99.29%,92.21%,99.75%,95.74%,99.54%,96.25%,0.18%,0.39%,0.18%,0.41%
19,18-<19 mo,"2,193",10,347,99.43%,91.71%,99.75%,95.51%,99.63%,95.91%,0.18%,0.42%,0.18%,0.44%
20,19-<20 mo,"1,836",6,345,99.62%,91.37%,99.76%,95.28%,99.84%,95.76%,0.16%,0.44%,0.16%,0.47%
21,20-<21 mo,"1,485",12,366,99.12%,90.59%,99.75%,95.05%,99.34%,95.17%,0.26%,0.49%,0.26%,0.52%
22,21-<22 mo,"1,107",3,370,99.62%,90.28%,99.75%,94.82%,99.81%,95.00%,0.22%,0.52%,0.22%,0.56%
23,22-<23 mo,734,3,385,99.42%,89.74%,99.75%,94.59%,99.66%,94.77%,0.35%,0.61%,0.35%,0.65%
24,23-<24 mo,346,0,346,+,+,99.74%,94.35%,+,+,+,+,+,+
