Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"7,831",463,316,94.32%,94.32%,99.77%,99.77%,94.53%,94.53%,0.27%,0.27%,0.27%,0.27%
2,1-<2 mo,"7,052",585,262,91.91%,86.71%,99.77%,99.55%,92.11%,87.09%,0.33%,0.40%,0.33%,0.40%
3,2-<3 mo,"6,205",413,267,93.44%,81.05%,99.78%,99.33%,93.64%,81.58%,0.32%,0.47%,0.32%,0.47%
4,3-<4 mo,"5,525",353,249,93.84%,76.12%,99.78%,99.11%,94.05%,76.78%,0.33%,0.51%,0.33%,0.52%
5,4-<5 mo,"4,923",241,232,95.13%,72.45%,99.78%,98.89%,95.34%,73.23%,0.31%,0.54%,0.31%,0.55%
6,5-<6 mo,"4,450",223,257,94.97%,68.85%,99.78%,98.68%,95.17%,69.73%,0.34%,0.57%,0.34%,0.58%
7,6-<7 mo,"3,970",209,182,94.73%,65.28%,99.78%,98.47%,94.94%,66.24%,0.36%,0.60%,0.36%,0.61%
8,7-<8 mo,"3,579",155,221,95.62%,62.45%,99.79%,98.26%,95.82%,63.50%,0.35%,0.62%,0.35%,0.63%
9,8-<9 mo,"3,203",158,160,95.04%,59.44%,99.79%,98.05%,95.24%,60.54%,0.39%,0.64%,0.39%,0.65%
10,9-<10 mo,"2,885",144,181,94.93%,56.45%,99.79%,97.84%,95.13%,57.61%,0.42%,0.65%,0.42%,0.67%
11,10-<11 mo,"2,560",110,171,95.46%,53.86%,99.79%,97.64%,95.67%,55.07%,0.43%,0.67%,0.43%,0.69%
12,11-<12 mo,"2,279",107,167,95.10%,51.24%,99.79%,97.44%,95.30%,52.50%,0.47%,0.69%,0.47%,0.71%
13,12-<13 mo,"2,005",70,136,96.54%,49.54%,99.77%,97.21%,96.77%,50.86%,0.41%,0.70%,0.41%,0.72%
14,13-<14 mo,"1,799",73,148,95.82%,47.53%,99.77%,96.99%,96.04%,48.88%,0.49%,0.71%,0.49%,0.73%
15,14-<15 mo,"1,578",57,157,96.35%,45.87%,99.77%,96.78%,96.57%,47.26%,0.48%,0.73%,0.48%,0.75%
16,15-<16 mo,"1,364",44,138,96.57%,44.35%,99.77%,96.56%,96.79%,45.78%,0.51%,0.74%,0.52%,0.76%
17,16-<17 mo,"1,182",45,150,95.98%,42.63%,99.77%,96.34%,96.20%,44.09%,0.60%,0.76%,0.60%,0.78%
18,17-<18 mo,987,25,149,97.26%,41.48%,99.78%,96.13%,97.48%,42.98%,0.55%,0.78%,0.55%,0.80%
19,18-<19 mo,813,36,116,95.07%,39.43%,99.78%,95.92%,95.28%,40.94%,0.81%,0.81%,0.81%,0.84%
20,19-<20 mo,661,22,117,96.30%,37.96%,99.77%,95.70%,96.52%,39.50%,0.78%,0.84%,0.79%,0.88%
21,20-<21 mo,522,10,157,97.83%,37.17%,99.77%,95.49%,98.06%,38.75%,0.68%,0.87%,0.68%,0.90%
22,21-<22 mo,355,7,104,97.85%,36.44%,99.77%,95.27%,98.06%,38.05%,0.80%,0.89%,0.80%,0.93%
23,22-<23 mo,244,2,119,99.04%,36.07%,99.76%,95.05%,99.07%,37.68%,0.67%,0.92%,0.67%,0.96%
24,23-<24 mo,123,1,122,+,+,99.77%,94.84%,+,+,+,+,+,+
