Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,251,8,11,96.66%,96.66%,99.79%,99.79%,96.87%,96.87%,1.17%,1.17%,1.18%,1.18%
2,1-<2 mo,232,8,11,96.36%,93.16%,99.79%,99.57%,96.56%,93.55%,1.28%,1.67%,1.28%,1.68%
3,2-<3 mo,213,7,7,95.89%,89.42%,99.78%,99.36%,96.05%,89.93%,1.48%,2.06%,1.49%,2.08%
4,3-<4 mo,199,6,7,96.85%,86.71%,99.78%,99.14%,97.05%,87.39%,1.29%,2.27%,1.30%,2.29%
5,4-<5 mo,186,2,16,98.55%,85.57%,99.79%,98.93%,98.72%,86.37%,1.01%,2.35%,1.01%,2.39%
6,5-<6 mo,168,4,8,98.04%,83.78%,99.79%,98.73%,98.08%,84.67%,0.96%,2.49%,0.96%,2.52%
7,6-<7 mo,156,1,12,99.47%,83.34%,99.79%,98.52%,99.50%,84.24%,0.53%,2.51%,0.53%,2.55%
8,7-<8 mo,143,3,6,98.20%,81.85%,99.79%,98.31%,98.23%,82.77%,1.00%,2.61%,1.01%,2.65%
9,8-<9 mo,134,1,9,99.31%,81.32%,99.79%,98.11%,99.34%,82.25%,0.68%,2.65%,0.68%,2.69%
10,9-<10 mo,124,4,7,96.79%,78.75%,99.79%,97.90%,97.00%,80.38%,1.59%,2.86%,1.59%,2.93%
11,10-<11 mo,113,2,12,98.25%,77.51%,99.78%,97.69%,98.28%,79.14%,1.20%,2.93%,1.20%,3.01%
12,11-<12 mo,99,1,13,98.90%,76.77%,99.78%,97.47%,98.93%,78.41%,1.08%,2.98%,1.08%,3.06%
13,12-<13 mo,85,1,9,98.69%,75.93%,99.78%,97.26%,98.72%,77.59%,1.28%,3.04%,1.28%,3.12%
14,13-<14 mo,75,1,6,98.59%,74.88%,99.77%,97.04%,98.76%,77.04%,1.39%,3.16%,1.39%,3.28%
15,14-<15 mo,68,0,9,100.00%,74.88%,99.79%,96.84%,100.00%,77.04%,0.00%,3.16%,0.00%,3.28%
16,15-<16 mo,59,1,6,98.33%,73.86%,99.81%,96.66%,98.36%,76.07%,1.62%,3.25%,1.62%,3.37%
17,16-<17 mo,52,1,8,97.92%,72.36%,99.81%,96.48%,98.05%,74.81%,2.03%,3.49%,2.04%,3.66%
18,17-<18 mo,43,0,7,100.00%,72.36%,99.81%,96.30%,100.00%,74.81%,0.00%,3.49%,0.00%,3.66%
19,18-<19 mo,36,1,4,96.98%,70.29%,99.81%,96.12%,97.12%,72.79%,2.91%,3.91%,2.92%,4.12%
20,19-<20 mo,31,0,5,100.00%,70.29%,99.82%,95.95%,100.00%,72.79%,0.00%,3.91%,0.00%,4.12%
21,20-<21 mo,26,0,4,100.00%,70.29%,99.84%,95.80%,100.00%,72.79%,0.00%,3.91%,0.00%,4.12%
22,21-<22 mo,22,0,5,100.00%,70.29%,99.84%,95.65%,100.00%,72.79%,0.00%,3.91%,0.00%,4.12%
23,22-<23 mo,17,0,11,100.00%,70.29%,99.84%,95.51%,100.00%,72.79%,0.00%,3.91%,0.00%,4.12%
24,23-<24 mo,6,0,6,+,+,99.86%,95.38%,+,+,+,+,+,+
