Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,49,0,1,100.00%,100.00%,99.83%,99.83%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,48,1,1,98.03%,98.03%,99.83%,99.66%,98.06%,98.10%,1.90%,1.90%,1.90%,1.90%
3,2-<3 mo,46,1,3,96.76%,94.79%,99.85%,99.51%,96.86%,95.17%,3.12%,3.65%,3.13%,3.68%
4,3-<4 mo,42,0,2,100.00%,94.79%,99.85%,99.36%,100.00%,95.17%,0.00%,3.65%,0.00%,3.68%
5,4-<5 mo,40,0,0,100.00%,94.79%,99.85%,99.22%,100.00%,95.17%,0.00%,3.65%,0.00%,3.68%
6,5-<6 mo,40,1,5,96.02%,91.10%,99.85%,99.07%,96.11%,91.72%,3.79%,4.90%,3.80%,4.96%
7,6-<7 mo,34,3,2,89.01%,81.32%,99.84%,98.92%,89.13%,82.06%,5.97%,6.77%,5.98%,6.86%
8,7-<8 mo,29,1,1,94.53%,77.22%,99.85%,98.77%,94.62%,77.96%,5.12%,7.29%,5.13%,7.41%
9,8-<9 mo,27,1,3,92.71%,72.45%,99.84%,98.62%,92.79%,73.15%,6.66%,7.78%,6.67%,7.92%
10,9-<10 mo,23,0,5,100.00%,72.45%,99.84%,98.47%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
11,10-<11 mo,18,0,1,100.00%,72.45%,99.85%,98.32%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
12,11-<12 mo,17,0,1,100.00%,72.45%,99.85%,98.17%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
13,12-<13 mo,16,0,1,100.00%,72.45%,99.83%,98.00%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
14,13-<14 mo,15,0,2,100.00%,72.45%,99.83%,97.84%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
15,14-<15 mo,13,0,1,100.00%,72.45%,99.83%,97.67%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
16,15-<16 mo,12,0,1,100.00%,72.45%,99.83%,97.51%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
17,16-<17 mo,11,0,1,100.00%,72.45%,99.84%,97.35%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
18,17-<18 mo,10,0,0,100.00%,72.45%,99.83%,97.19%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
19,18-<19 mo,10,0,1,100.00%,72.45%,99.83%,97.02%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
20,19-<20 mo,9,0,0,100.00%,72.45%,99.88%,96.91%,100.00%,73.15%,0.00%,7.78%,0.00%,7.92%
21,20-<21 mo,9,1,2,93.64%,66.08%,99.88%,96.80%,93.65%,67.01%,5.61%,9.59%,5.62%,9.74%
22,21-<22 mo,6,0,2,+,+,99.87%,96.68%,+,+,+,+,+,+
