Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,49,0,1,100.00%,100.00%,99.86%,99.86%,100.0000%*,100.0000%*,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,48,1,1,97.89%,97.89%,99.86%,99.72%,98.03%,98.17%,2.08%,2.08%,2.09%,2.09%
3,2-<3 mo,46,1,3,97.75%,95.69%,99.87%,99.59%,97.88%,96.09%,2.22%,2.98%,2.22%,2.99%
4,3-<4 mo,42,0,2,100.00%,95.69%,99.88%,99.47%,100.0000%*,96.0903%#,0.00%,2.98%,0.00%,2.9917%#
5,4-<5 mo,40,0,0,100.00%,95.69%,99.88%,99.35%,100.0000%*,96.0903%#,0.00%,2.98%,0.00%,2.9917%#
6,5-<6 mo,40,1,5,97.33%,93.14%,99.88%,99.23%,97.45%,93.87%,2.63%,3.84%,2.63%,3.87%
7,6-<7 mo,34,3,2,90.91%,84.68%,99.88%,99.11%,91.02%,85.44%,5.00%,5.82%,5.01%,5.88%
8,7-<8 mo,29,1,1,96.49%,81.70%,99.89%,98.99%,96.60%,82.53%,3.45%,6.33%,3.45%,6.40%
9,8-<9 mo,27,1,3,96.08%,78.50%,99.88%,98.88%,96.19%,79.39%,3.84%,6.85%,3.85%,6.92%
10,9-<10 mo,23,0,5,100.00%,78.50%,99.90%,98.78%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
11,10-<11 mo,18,0,1,100.00%,78.50%,99.89%,98.66%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
12,11-<12 mo,17,0,1,100.00%,78.50%,99.89%,98.55%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
13,12-<13 mo,16,0,1,100.00%,78.50%,99.87%,98.42%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
14,13-<14 mo,15,0,2,100.00%,78.50%,99.86%,98.29%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
15,14-<15 mo,13,0,1,100.00%,78.50%,99.87%,98.16%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
16,15-<16 mo,12,0,1,100.00%,78.50%,99.86%,98.02%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
17,16-<17 mo,11,0,1,100.00%,78.50%,99.86%,97.88%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
18,17-<18 mo,10,0,0,100.00%,78.50%,99.86%,97.75%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
19,18-<19 mo,10,0,1,100.00%,78.50%,99.86%,97.61%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
20,19-<20 mo,9,0,0,100.00%,78.50%,99.91%,97.52%,100.0000%*,79.3910%#,0.00%,6.85%,0.00%,6.9242%#
21,20-<21 mo,9,1,2,87.50%,68.69%,99.91%,97.43%,87.58%,70.50%,11.69%,10.96%,11.70%,11.25%
22,21-<22 mo,6,0,2,100.00%,68.69%,99.90%,97.34%,100.0000%*,70.4962%#,0.00%,10.96%,0.00%,11.2494%#
23,22-<23 mo,4,0,3,100.00%,68.69%,99.91%,97.25%,100.0000%*,70.4962%#,0.00%,10.96%,0.00%,11.2494%#
24,23-<24 mo,1,0,1,+,+,99.97%,97.22%,+,+,+,+,+,+
