Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,163",48,59,95.77%,95.77%,99.78%,99.78%,95.98%,95.98%,0.60%,0.60%,0.60%,0.60%
2,1-<2 mo,"1,056",69,28,93.38%,89.42%,99.78%,99.57%,93.58%,89.81%,0.77%,0.93%,0.77%,0.93%
3,2-<3 mo,959,58,43,93.81%,83.89%,99.79%,99.36%,94.01%,84.44%,0.79%,1.12%,0.79%,1.12%
4,3-<4 mo,858,43,38,94.87%,79.59%,99.79%,99.15%,95.07%,80.27%,0.76%,1.24%,0.76%,1.25%
5,4-<5 mo,777,36,39,95.25%,75.81%,99.79%,98.95%,95.44%,76.62%,0.77%,1.33%,0.77%,1.34%
6,5-<6 mo,702,34,37,95.03%,72.04%,99.80%,98.75%,95.22%,72.95%,0.83%,1.41%,0.83%,1.43%
7,6-<7 mo,631,25,38,95.92%,69.10%,99.80%,98.55%,96.11%,70.11%,0.80%,1.47%,0.80%,1.49%
8,7-<8 mo,568,25,37,95.45%,65.95%,99.80%,98.36%,95.64%,67.05%,0.89%,1.53%,0.89%,1.56%
9,8-<9 mo,506,29,22,94.14%,62.09%,99.81%,98.17%,94.32%,63.24%,1.06%,1.60%,1.06%,1.63%
10,9-<10 mo,455,27,22,93.92%,58.31%,99.81%,97.99%,94.09%,59.51%,1.13%,1.66%,1.14%,1.70%
11,10-<11 mo,406,25,42,93.51%,54.53%,99.82%,97.81%,93.68%,55.75%,1.26%,1.72%,1.26%,1.76%
12,11-<12 mo,339,15,26,95.40%,52.02%,99.81%,97.63%,95.58%,53.28%,1.16%,1.76%,1.16%,1.80%
13,12-<13 mo,298,19,23,93.37%,48.57%,99.78%,97.41%,93.57%,49.86%,1.47%,1.81%,1.47%,1.86%
14,13-<14 mo,256,10,20,95.94%,46.59%,99.80%,97.22%,96.13%,47.93%,1.26%,1.84%,1.26%,1.89%
15,14-<15 mo,226,10,10,95.48%,44.48%,99.79%,97.02%,95.67%,45.85%,1.40%,1.87%,1.40%,1.93%
16,15-<16 mo,206,5,19,97.46%,43.35%,99.79%,96.81%,97.66%,44.78%,1.12%,1.89%,1.13%,1.96%
17,16-<17 mo,182,7,26,95.86%,41.56%,99.78%,96.60%,96.07%,43.02%,1.53%,1.93%,1.54%,2.00%
18,17-<18 mo,149,6,18,95.71%,39.78%,99.79%,96.39%,95.92%,41.26%,1.71%,1.98%,1.72%,2.06%
19,18-<19 mo,125,2,21,98.25%,39.08%,99.79%,96.19%,98.46%,40.63%,1.22%,2.01%,1.23%,2.09%
20,19-<20 mo,102,2,25,97.77%,38.21%,99.77%,95.97%,97.99%,39.81%,1.56%,2.06%,1.57%,2.14%
21,20-<21 mo,75,1,18,98.48%,37.63%,99.77%,95.75%,98.71%,39.30%,1.50%,2.10%,1.51%,2.20%
22,21-<22 mo,56,3,20,93.48%,35.18%,99.75%,95.51%,93.71%,36.83%,3.64%,2.40%,3.65%,2.51%
23,22-<23 mo,33,0,17,100.00%,35.18%,99.77%,95.29%,100.0000%*,36.8276%#,0.00%,2.40%,0.00%,2.5097%#
24,23-<24 mo,16,1,15,+,+,99.81%,95.12%,+,+,+,+,+,+
