Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,34,1,0,98.01%,98.01%,99.80%,99.80%,98.17%,98.17%,1.94%,1.94%,1.95%,1.95%
2,1-<2 mo,33,1,0,97.92%,96.02%,99.80%,99.60%,98.08%,96.32%,2.03%,2.68%,2.04%,2.70%
3,2-<3 mo,32,1,3,97.70%,93.93%,99.80%,99.41%,97.86%,94.36%,2.24%,3.26%,2.25%,3.30%
4,3-<4 mo,28,2,2,92.57%,86.87%,99.81%,99.22%,92.73%,87.44%,5.06%,5.77%,5.07%,5.81%
5,4-<5 mo,24,1,2,96.87%,84.34%,99.82%,99.04%,97.01%,84.98%,3.01%,6.10%,3.02%,6.16%
6,5-<6 mo,21,0,0,100.00%,84.34%,99.85%,98.89%,100.00%,84.98%,0.00%,6.10%,0.00%,6.16%
7,6-<7 mo,21,1,2,92.12%,76.46%,99.85%,98.74%,92.13%,77.22%,6.66%,9.03%,6.67%,9.10%
8,7-<8 mo,18,0,2,100.00%,76.46%,99.85%,98.59%,100.00%,77.22%,0.00%,9.03%,0.00%,9.10%
9,8-<9 mo,16,0,0,100.00%,76.46%,99.85%,98.45%,100.00%,77.22%,0.00%,9.03%,0.00%,9.10%
10,9-<10 mo,16,1,1,95.83%,73.33%,99.85%,98.31%,95.94%,74.45%,3.96%,9.34%,3.98%,9.45%
11,10-<11 mo,14,0,2,100.00%,73.33%,99.84%,98.16%,100.00%,74.45%,0.00%,9.34%,0.00%,9.45%
12,11-<12 mo,12,0,0,100.00%,73.33%,99.84%,98.01%,100.00%,74.45%,0.00%,9.34%,0.00%,9.45%
13,12-<13 mo,12,1,0,95.14%,70.02%,99.83%,97.84%,95.27%,71.29%,4.58%,9.59%,4.60%,9.74%
14,13-<14 mo,11,0,2,100.00%,70.02%,99.82%,97.66%,100.00%,71.29%,0.00%,9.59%,0.00%,9.74%
15,14-<15 mo,9,0,0,100.00%,70.02%,99.82%,97.49%,100.00%,71.29%,0.00%,9.59%,0.00%,9.74%
16,15-<16 mo,9,1,1,93.27%,65.95%,99.82%,97.32%,93.40%,67.30%,6.19%,9.89%,6.22%,10.11%
17,16-<17 mo,7,0,1,100.00%,65.95%,99.88%,97.20%,100.00%,67.30%,0.00%,9.89%,0.00%,10.11%
18,17-<18 mo,6,0,0,100.00%,65.95%,99.88%,97.09%,100.00%,67.30%,0.00%,9.89%,0.00%,10.11%
19,18-<19 mo,6,0,0,100.00%,65.95%,99.88%,96.97%,100.00%,67.30%,0.00%,9.89%,0.00%,10.11%
20,19-<20 mo,6,0,3,+,+,99.88%,96.85%,+,+,+,+,+,+
